Hertz,volumen,Imagenes,Random,Correcto,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,mensaje_intro.started,mensaje_intro.stopped,mensaje_intro_2.started,mensaje_intro_2.stopped,textbox_prueba.started,textbox_prueba.stopped,sonido_prueba.started,sonido_prueba.stopped,image_prueba.started,image_prueba.stopped,slider_prueba.response,slider_prueba.rt,slider_prueba.started,slider_prueba.stopped,sonido_prueba_2.started,sonido_prueba_2.stopped,image_prueba_2.started,image_prueba_2.stopped,slider_prueba_2.response,slider_prueba_2.rt,slider_prueba_2.started,slider_prueba_2.stopped,sonido_exp.started,sonido_exp.stopped,image_exp.started,image_exp.stopped,slider_exp.response,slider_exp.rt,slider_exp.started,slider_exp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1000,0.02,imagenes/Croissant.jpg,0.5824748589948932,None,0,0,0,2,0,14,14,5,,,,,,,,,,,,,,,,,,,,,,,42.19118462000624,43.19089689999237,43.19089689999237,None,5.9609375,1.2694709999777842,43.19089689999237,None,d,001,2021_Jan_08_1839,piloto1,2020.2.5,59.53068389936787,
1000,0.02,imagenes/Papas picantes.jpg,0.524978898672612,None,0,0,0,2,0,15,15,27,,,,,,,,,,,,,,,,,,,,,,,43.49047176000604,None,44.47410220000893,None,5.9609375,1.1833781000168528,44.47410220000893,None,d,001,2021_Jan_08_1839,piloto1,2020.2.5,59.53068389936787,
1000,0.02,imagenes/salchicha hojaldrada.jpg,0.7119773165481526,None,0,0,0,2,0,16,16,35,,,,,,,,,,,,,,,,,,,,,,,44.69056325998681,45.691004099993734,45.67429080000147,None,5.9609375,1.248061999998754,45.67429080000147,None,d,001,2021_Jan_08_1839,piloto1,2020.2.5,59.53068389936787,
1000,0.02,imagenes/Pandebono.png,0.8988574378129985,None,0,0,0,2,0,17,17,26,,,,,,,,,,,,,,,,,,,,,,,45.97416162000154,None,46.96154099999694,None,5.9609375,1.0962514000129886,46.96154099999694,None,d,001,2021_Jan_08_1839,piloto1,2020.2.5,59.53068389936787,
1000,0.02,imagenes/Rollo de queso.png,0.9201641182756888,None,0,0,0,2,0,18,18,33,,,,,,,,,,,,,,,,,,,,,,,47.10752421999932,48.10784769998281,48.10784769998281,None,5.9609375,1.174972800014075,48.10784769998281,None,d,001,2021_Jan_08_1839,piloto1,2020.2.5,59.53068389936787,
1000,0.02,imagenes/Rollos de canela.png,0.2610974409574519,None,0,0,0,2,0,19,19,34,,,,,,,,,,,,,,,,,,,,,,,48.30763205998519,49.307718099997146,49.307718099997146,None,5.9609375,1.1923591999802738,49.307718099997146,None,d,001,2021_Jan_08_1839,piloto1,2020.2.5,59.53068389936787,
1000,0.02,imagenes/Rosquitas (1).jpg,0.024090340010977873,None,0,0,0,2,0,20,20,17,,,,,,,,,,,,,,,,,,,,,,,49.540934519999425,None,50.524364499986405,None,5.9609375,1.1282854999881238,50.524364499986405,None,d,001,2021_Jan_08_1839,piloto1,2020.2.5,59.53068389936787,
1000,0.02,imagenes/Manzana.jpg,0.4048420327008191,None,0,0,0,2,0,21,21,11,,,,,,,,,,,,,,,,,,,,,,,50.70738841998973,51.70887239999138,51.70887239999138,None,5.9609375,1.1431751000054646,51.70887239999138,None,d,001,2021_Jan_08_1839,piloto1,2020.2.5,59.53068389936787,
1000,0.02,imagenes/bon-bon-bun.jpg,0.7417452724056987,None,0,0,0,2,0,22,22,2,,,,,,,,,,,,,,,,,,,,,,,51.89120542000164,52.890509099990595,52.890509099990595,None,5.9609375,1.1382708999735769,52.890509099990595,None,d,001,2021_Jan_08_1839,piloto1,2020.2.5,59.53068389936787,
1000,0.02,imagenes/Canelazo.png,0.6730479360767814,None,0,0,0,2,0,23,23,22,,,,,,,,,,,,,,,,,,,,,,,53.09071498000703,None,54.074254899984226,None,5.9609375,1.2331781999964733,54.074254899984226,None,d,001,2021_Jan_08_1839,piloto1,2020.2.5,59.53068389936787,
