Hertz,volumen,Imagenes,Random,Correcto,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Sonido.started,Sonido.stopped,image_2.started,image_2.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,text.started,text.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1000,0.02,imagenes\Leche-de-almendras.jpg,0.36073876480313727,None,0,0,0,2,0,0,0,9,10.261835639900529,None,10.284909100009827,None,None,None,10.284909100009827,None,,,,,r,001,2020_Oct_06_1138,piloto1,2020.2.3,59.99062947263852,
1000,0.02,imagenes\Galletas-festival.jpg,0.36121121246191135,None,0,0,0,2,0,1,1,7,11.129776200003107,11.13757489999989,11.131197100010468,None,3.630208333333333,0.10783890000311658,11.131197100010468,None,,,,,r,001,2020_Oct_06_1138,piloto1,2020.2.3,59.99062947263852,
1000,0.02,imagenes\Papas-pollo.jpg,0.6683114062971784,None,0,0,0,2,0,2,2,15,11.279273639997701,11.280302200000733,11.272662400006084,None,3.4348958333333335,0.16493899998022243,11.272662400006084,None,,,,,r,001,2020_Oct_06_1138,piloto1,2020.2.3,59.99062947263852,
1000,0.02,imagenes\Croissant.jpg,0.6152458173421255,None,0,0,0,2,0,3,3,5,11.512622480012942,11.511789500014856,11.506213800021214,None,3.1549479166666665,0.09927749997586943,11.506213800021214,None,,,,,r,001,2020_Oct_06_1138,piloto1,2020.2.3,59.99062947263852,
1000,0.02,imagenes\Papas-limon.jpg,0.020692288100133793,None,0,0,0,2,0,4,4,14,11.64617864000029,None,11.646907500020461,None,2.770833333333333,0.10875610000221059,11.646907500020461,None,,,,,r,001,2020_Oct_06_1138,piloto1,2020.2.3,59.99062947263852,
1000,0.02,imagenes\Yogurt-alpina.jpg,0.21540995091807813,None,0,0,0,2,0,5,5,18,11.796244139998453,11.803934499999741,11.798149500013096,None,2.712239583333333,0.12399729999015108,11.798149500013096,None,,,,,r,001,2020_Oct_06_1138,piloto1,2020.2.3,59.99062947263852,
1000,0.02,imagenes\Banano.jpeg,0.651633055306917,None,0,0,0,2,0,6,6,1,11.962431339995238,11.968956700002309,11.963769199996023,None,3.8125,0.15820169998914935,11.963769199996023,None,,,,,r,001,2020_Oct_06_1138,piloto1,2020.2.3,59.99062947263852,
1000,0.02,imagenes\Brownie.jpg,0.17000143351927688,None,0,0,0,2,0,7,7,3,12.196058180002728,12.198559100012062,12.190783700003522,None,4.502604166666667,0.09672400000272319,12.190783700003522,None,,,,,r,001,2020_Oct_06_1138,piloto1,2020.2.3,59.99062947263852,
1000,0.02,imagenes\Kiwi.jpg,0.5893907384852061,None,0,0,0,2,0,8,8,8,12.329276240005857,12.32922710001003,12.319898800022202,None,4.782552083333334,0.1350722999777645,12.319898800022202,None,,,,,r,001,2020_Oct_06_1138,piloto1,2020.2.3,59.99062947263852,
1000,0.02,imagenes\Alpinito.jpg,0.4515332417045813,None,0,0,0,2,0,9,9,0,12.529470480012241,12.540235100022983,12.534393500012811,None,3.942708333333333,0.08752539998386055,12.534393500012811,None,,,,,r,001,2020_Oct_06_1138,piloto1,2020.2.3,59.99062947263852,
1000,0.02,imagenes\Uvas.jpg,0.7734382152670648,None,0,0,0,2,0,10,10,19,12.66241073999554,None,12.663277500018012,None,3.0833333333333335,0.12666530002024956,12.663277500018012,None,,,,,r,001,2020_Oct_06_1138,piloto1,2020.2.3,59.99062947263852,
1000,0.02,imagenes\Papas-naturales.jpg,0.15856838916280946,None,0,0,0,2,0,11,11,13,12.812385020012153,None,12.818203500006348,None,2.803385416666667,0.13768669997807592,12.818203500006348,None,,,,,r,001,2020_Oct_06_1138,piloto1,2020.2.3,59.99062947263852,
1000,0.02,imagenes\Chocoramo.jfif.jpg,0.7789437122019539,None,0,0,0,2,0,12,12,4,13.029467979993205,13.027414200012572,13.021333400014555,None,2.328125,0.10009669998544268,13.021333400014555,None,,,,,r,001,2020_Oct_06_1138,piloto1,2020.2.3,59.99062947263852,
1000,0.02,imagenes\Manzana.jpg,0.5168162194437935,None,0,0,0,2,0,13,13,11,13.162408240005607,None,13.168440200010082,None,2.23046875,0.12619029998313636,13.168440200010082,None,,,,,r,001,2020_Oct_06_1138,piloto1,2020.2.3,59.99062947263852,
1000,0.02,imagenes\Rosquitas (1).jpg,0.3035383390851263,None,0,0,0,2,0,14,14,17,13.3457862600073,13.350293700001203,13.344802800012985,None,2.77734375,0.11028359999181703,13.344802800012985,None,,,,,r,001,2020_Oct_06_1138,piloto1,2020.2.3,59.99062947263852,
1000,0.02,imagenes\bon-bon-bun.jpg,0.7387922093313524,None,0,0,0,2,0,15,15,2,13.512423960000161,None,13.503225399996154,None,3.5,0.1353174999821931,13.503225399996154,None,,,,,r,001,2020_Oct_06_1138,piloto1,2020.2.3,59.99062947263852,
1000,0.02,imagenes\Nutella (1).jpg,0.5277483225747329,None,0,0,0,2,0,16,16,12,13.678952839993872,None,13.679399300017394,None,3.662760416666667,0.14185610000276938,13.679399300017394,None,,,,,r,001,2020_Oct_06_1138,piloto1,2020.2.3,59.99062947263852,
