Hertz,volumen,Imagenes,Random,Correcto,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,sound_3.started,sound_3.stopped,Sonido.started,Sonido.stopped,image_2.started,image_2.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1500,0.02,imagenes/Manzana.jpg,0.4048420327008191,None,0,0,0,1,0,0,0,11,33.695523199992024,None,43.87811329997494,None,44.886846099980175,None,3.571614583333333,1.8307657999685034,44.886846099980175,None,Sebastian,001,2020_Nov_03_1423,piloto1,2020.2.3,59.97821592066241,
1500,0.02,imagenes/pistachos.jpg,0.7450869742741464,None,0,0,0,1,0,1,1,30,,,45.72862889997778,None,46.72839269996621,None,4.463541666666667,2.1707764000166208,46.72839269996621,None,Sebastian,001,2020_Nov_03_1423,piloto1,2020.2.3,59.97821592066241,
1500,0.02,imagenes/Kiwi.jpg,0.3929145850942286,None,0,0,0,1,0,2,2,8,,,47.92759709999082,48.92757459997665,48.92757459997665,None,3.565104166666667,1.7910373999620788,48.92757459997665,None,Sebastian,001,2020_Nov_03_1423,piloto1,2020.2.3,59.97821592066241,
1500,0.02,imagenes/Chontaduro.png,0.8693553300418813,None,0,0,0,1,0,3,3,23,,,49.74493170001661,None,50.74482919997536,None,2.458333333333333,2.0563636999577284,50.74482919997536,None,Sebastian,001,2020_Nov_03_1423,piloto1,2020.2.3,59.97821592066241,
1500,0.02,imagenes/Papas-limon.jpg,0.5280798509093595,None,0,0,0,1,0,4,4,14,,,51.82811099996907,52.82837120001204,52.82837120001204,None,3.4674479166666665,2.174182999995537,52.82837120001204,None,Sebastian,001,2020_Nov_03_1423,piloto1,2020.2.3,59.97821592066241,
1500,0.02,imagenes/Galletas Tosh.jpg,0.9129693753280027,None,0,0,0,1,0,5,5,6,,,54.06147820001352,None,55.04483169998275,None,4.30078125,2.213014699984342,55.04483169998275,None,Sebastian,001,2020_Nov_03_1423,piloto1,2020.2.3,59.97821592066241,
1500,0.02,imagenes/Pandebono.png,0.8988574378129985,None,0,0,0,1,0,6,6,26,,,56.31123630001676,57.311319199972786,57.294667200010736,None,None,None,57.294667200010736,None,Sebastian,001,2020_Nov_03_1423,piloto1,2020.2.3,59.97821592066241,
1500,0.02,imagenes/bon-bon-bun.jpg,0.7417452724056987,None,0,0,0,1,0,7,7,2,,,59.327826699992876,60.32796129997587,60.32796129997587,59.33198169997195,None,None,60.32796129997587,59.33198169997195,Sebastian,001,2020_Nov_03_1423,piloto1,2020.2.3,59.97821592066241,
1500,0.02,imagenes/Pizzetas.png,0.3295951589873042,None,0,0,0,1,0,8,8,32,,,62.34474289997016,63.3442628000048,63.32794449996436,62.33962420001626,3.2591145833333335,2.7618215000256896,63.32794449996436,62.33962420001626,Sebastian,001,2020_Nov_03_1423,piloto1,2020.2.3,59.97821592066241,
1500,0.02,imagenes/Almojabanas.png,0.6725051200713246,None,0,0,0,1,0,9,9,20,,,65.14440229998436,66.14429289998952,66.14429289998952,None,3.610677083333333,2.0761674999957904,66.14429289998952,None,Sebastian,001,2020_Nov_03_1423,piloto1,2020.2.3,59.97821592066241,
1500,0.02,imagenes/salchicha hojaldrada.jpg,0.7119773165481526,None,0,0,0,1,0,10,10,35,,,67.24398799999035,68.24392109998735,68.22758599999361,None,3.734375,2.660852300003171,68.22758599999361,None,Sebastian,001,2020_Nov_03_1423,piloto1,2020.2.3,59.97821592066241,
