Hertz,volumen,Imagenes,Random,Correcto,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,mensaje_intro.started,mensaje_intro.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,mensaje_intro_2.started,mensaje_intro_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_prueba.started,text_prueba.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,sonido_prueba.started,sonido_prueba.stopped,image_prueba.started,image_prueba.stopped,slider_prueba.response,slider_prueba.rt,slider_prueba.started,slider_prueba.stopped,sonido_prueba_2.started,sonido_prueba_2.stopped,image_prueba_2.started,image_prueba_2.stopped,slider_prueba_2.response,slider_prueba_2.rt,slider_prueba_2.started,slider_prueba_2.stopped,text_prueba_2.started,text_prueba_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,sonido_exp.started,sonido_exp.stopped,image_exp.started,image_exp.stopped,slider_exp.response,slider_exp.rt,slider_exp.started,slider_exp.stopped,text_subasta1.started,text_subasta1.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_subasta2.started,text_subasta2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text.started,text.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,text_4.started,text_4.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,text_producto.started,text_producto.stopped,image.started,image.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.started,key_resp_9.stopped,texto_final.started,texto_final.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.started,key_resp_10.stopped,text_2.started,text_2.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.started,key_resp_11.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1000,0.0,imagenes/Galletas Tosh.jpg,0.9129693753280027,None,0,3,3,3,0,32,32,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.0687697599642,None,219.05228720000014,None,3.604166666666667,1.2297368999570608,219.05228720000014,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,001,2021_Jan_09_0116,piloto1,2020.2.5,59.860489154847656,
1000,0.0,imagenes/Rollos de canela.png,0.2610974409574519,None,0,3,3,3,0,33,33,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.3355947600212,None,220.3020846999716,None,None,None,220.3020846999716,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,001,2021_Jan_09_0116,piloto1,2020.2.5,59.860489154847656,
1000,0.0,imagenes/Mango.jpeg,0.4341155418941499,None,0,3,3,3,0,34,34,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.35205531999236,None,222.33582350000506,221.34043709997786,3.604166666666667,1.6019744999939576,222.33582350000506,221.34043709997786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,001,2021_Jan_09_0116,piloto1,2020.2.5,59.860489154847656,
1000,0.0,imagenes/salchicha hojaldrada.jpg,0.7119773165481526,None,0,3,3,3,0,35,35,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.96871878000093,223.96857799997088,223.95179109997116,None,3.604166666666667,1.0131247999961488,223.95179109997116,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,001,2021_Jan_09_0116,piloto1,2020.2.5,59.860489154847656,
1000,0.0,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,001,2021_Jan_09_0116,piloto1,2020.2.5,59.860489154847656,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.00208290002774,None,space,5.379702599951997,224.00208290002774,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,001,2021_Jan_09_0116,piloto1,2020.2.5,59.860489154847656,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.40244859998347,None,space,0.6465241000405513,229.40244859998347,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,001,2021_Jan_09_0116,piloto1,2020.2.5,59.860489154847656,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.10499249998247,None,space,0.7368671000003815,230.10499249998247,None,,,,,,,,,,,,,,,,,,,,,,,,,,,t,001,2021_Jan_09_0116,piloto1,2020.2.5,59.860489154847656,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.87519729998894,None,space,0.6777729000314139,230.87519729998894,None,,,,,,,,,,,,,,,,,,,,,t,001,2021_Jan_09_0116,piloto1,2020.2.5,59.860489154847656,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.5708098000032,None,231.5708098000032,None,space,1.3110296999802813,231.5708098000032,None,,,,,,,,,,,,,t,001,2021_Jan_09_0116,piloto1,2020.2.5,59.860489154847656,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.92060040001525,None,space,0.7260285000083968,232.92060040001525,None,,,,,,,t,001,2021_Jan_09_0116,piloto1,2020.2.5,59.860489154847656,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.6690469000023,None,space,2.500678499985952,233.6690469000023,None,t,001,2021_Jan_09_0116,piloto1,2020.2.5,59.860489154847656,
