Hertz,volumen,Imagenes,Random,Correcto,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,mensaje_intro.started,mensaje_intro.stopped,mensaje_intro_2.started,mensaje_intro_2.stopped,textbox_prueba.started,textbox_prueba.stopped,sonido_prueba.started,sonido_prueba.stopped,image_prueba.started,image_prueba.stopped,slider_prueba.response,slider_prueba.rt,slider_prueba.started,slider_prueba.stopped,sonido_prueba_2.started,sonido_prueba_2.stopped,image_prueba_2.started,image_prueba_2.stopped,slider_prueba_2.response,slider_prueba_2.rt,slider_prueba_2.started,slider_prueba_2.stopped,textbox_prueba_2.started,textbox_prueba_2.stopped,sonido_exp.started,sonido_exp.stopped,image_exp.started,image_exp.stopped,slider_exp.response,slider_exp.rt,slider_exp.started,slider_exp.stopped,text_subasta1.started,text_subasta1.stopped,text_subasta2.started,text_subasta2.stopped,text.started,text.stopped,text_4.started,text_4.stopped,text_producto.started,text_producto.stopped,image.started,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1500,0.02,imagenes/Brownie.jpg,0.2838924074864093,None,0,3,3,1,0,23,23,3,,,,,,,,,,,,,,,,,,,,,,,,,195.88854509997762,196.88866529997904,196.8719296999625,None,1,1.113080599985551,196.8719296999625,None,,,,,,,,,,,,,y,001,2021_Jan_08_2325,piloto1,2020.2.5,60.06272951688982,
1500,0.02,imagenes/Rollo de queso.png,0.9201641182756888,None,0,3,3,1,0,24,24,33,,,,,,,,,,,,,,,,,,,,,,,,,197.0386245999718,None,198.03869699995266,None,1,1.142353200004436,198.03869699995266,None,,,,,,,,,,,,,y,001,2021_Jan_08_2325,piloto1,2020.2.5,60.06272951688982,
1500,0.02,imagenes/Papas picantes.jpg,0.524978898672612,None,0,3,3,1,0,25,25,27,,,,,,,,,,,,,,,,,,,,,,,,,198.20506919995532,None,199.1887446999899,None,1,1.1472485000267625,199.1887446999899,None,,,,,,,,,,,,,y,001,2021_Jan_08_2325,piloto1,2020.2.5,60.06272951688982,
1500,0.02,imagenes/Mango.jpeg,0.4341155418941499,None,0,3,3,1,0,26,26,10,,,,,,,,,,,,,,,,,,,,,,,,,199.37178439995623,200.37179809994996,200.37179809994996,None,1,1.1205491999862716,200.37179809994996,None,,,,,,,,,,,,,y,001,2021_Jan_08_2325,piloto1,2020.2.5,60.06272951688982,
1500,0.02,imagenes/Galletas Tosh.jpg,0.9129693753280027,None,0,3,3,1,0,27,27,6,,,,,,,,,,,,,,,,,,,,,,,,,200.5382429999765,None,201.5216690999805,None,1,1.0837485000374727,201.5216690999805,None,,,,,,,,,,,,,y,001,2021_Jan_08_2325,piloto1,2020.2.5,60.06272951688982,
1500,0.02,imagenes/Pescadito.png,0.7172825011486081,None,0,3,3,1,0,28,28,29,,,,,,,,,,,,,,,,,,,,,,,,,201.65519769995007,202.65514179994352,202.6385626999545,None,1,1.1147105999989435,202.6385626999545,None,,,,,,,,,,,,,y,001,2021_Jan_08_2325,piloto1,2020.2.5,60.06272951688982,
1500,0.02,imagenes/Yogurt-alpina.jpg,0.5445152936222175,None,0,3,3,1,0,29,29,18,,,,,,,,,,,,,,,,,,,,,,,,,202.78827989997225,203.78916919999756,203.78916919999756,None,1,1.1206764000235125,203.78916919999756,None,,,,,,,,,,,,,y,001,2021_Jan_08_2325,piloto1,2020.2.5,60.06272951688982,
1500,0.02,imagenes/Rollos de canela.png,0.2610974409574519,None,0,3,3,1,0,30,30,34,,,,,,,,,,,,,,,,,,,,,,,,,203.9383878999448,204.93827259994578,204.93827259994578,None,1,1.1409607999958098,204.93827259994578,None,,,,,,,,,,,,,y,001,2021_Jan_08_2325,piloto1,2020.2.5,60.06272951688982,
1500,0.02,imagenes/Coliflor.jpg,0.3640740491088985,None,0,3,3,1,0,31,31,24,,,,,,,,,,,,,,,,,,,,,,,,,205.1048479999823,206.10475029994268,206.10475029994268,None,1,1.0881142999860458,206.10475029994268,None,,,,,,,,,,,,,y,001,2021_Jan_08_2325,piloto1,2020.2.5,60.06272951688982,
1500,0.02,imagenes/bon-bon-bun.jpg,0.7417452724056987,None,0,3,3,1,0,32,32,2,,,,,,,,,,,,,,,,,,,,,,,,,206.2548143999709,None,207.22143879998475,None,1,1.1032772000180557,207.22143879998475,None,,,,,,,,,,,,,y,001,2021_Jan_08_2325,piloto1,2020.2.5,60.06272951688982,
1500,0.02,imagenes/Nutella (1).jpg,0.8826531883338111,None,0,3,3,1,0,33,33,12,,,,,,,,,,,,,,,,,,,,,,,,,207.3715668999881,208.37148479995085,208.37148479995085,None,1,1.1193410999840125,208.37148479995085,None,,,,,,,,,,,,,y,001,2021_Jan_08_2325,piloto1,2020.2.5,60.06272951688982,
1500,0.02,imagenes/Canelazo.png,0.6730479360767814,None,0,3,3,1,0,34,34,22,,,,,,,,,,,,,,,,,,,,,,,,,208.55486899996757,209.5545433999505,209.5378966999706,None,1,1.0937334999907762,209.5378966999706,None,,,,,,,,,,,,,y,001,2021_Jan_08_2325,piloto1,2020.2.5,60.06272951688982,
1500,0.02,imagenes/Galletas-festival.jpg,0.11306074364032936,None,0,3,3,1,0,35,35,7,,,,,,,,,,,,,,,,,,,,,,,,,209.68864979995413,None,210.67130069999257,None,1,1.11830169998575,210.67130069999257,None,,,,,,,,,,,,,y,001,2021_Jan_08_2325,piloto1,2020.2.5,60.06272951688982,
1500,0.02,,,,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,001,2021_Jan_08_2325,piloto1,2020.2.5,60.06272951688982,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.82162879995303,None,212.35505879996344,None,213.0237569999881,None,215.97740769997472,None,223.06781849998515,None,223.06781849998515,None,,,,,,,
