Hertz,volumen,Imagenes,Random,Correcto,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,mensaje_intro.started,mensaje_intro.stopped,mensaje_intro_2.started,mensaje_intro_2.stopped,sonido_prueba.started,sonido_prueba.stopped,image_prueba.started,image_prueba.stopped,slider_prueba.response,slider_prueba.rt,slider_prueba.started,slider_prueba.stopped,sonido_exp.started,sonido_exp.stopped,image_exp.started,image_exp.stopped,slider_exp.response,slider_exp.rt,slider_exp.started,slider_exp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
400,0.02,imagenes/Chocoramo.jfif.jpg,0.7425528559884101,None,0,0,0,0,0,0,0,4,8.600697400019271,None,9.400654400000349,None,10.841098940008669,None,11.844635500019649,None,3.584635416666667,1.7655143000010867,11.844635500019649,None,12.690918899999815,None,13.67423430000781,None,3.584635416666667,1.3812027999956626,13.67423430000781,None,p,001,2021_Jan_08_1802,piloto1,2020.2.5,60.10261920277429,
400,0.02,imagenes/Leche-de-almendras.jpg,0.3886559457994673,None,0,0,0,0,0,1,1,9,,,,,,,,,,,,,14.173916840017773,None,15.157275900011882,None,2.4453125,1.261603399994783,15.157275900011882,None,p,001,2021_Jan_08_1802,piloto1,2020.2.5,60.10261920277429,
400,0.02,imagenes/Brownie.jpg,0.2838924074864093,None,0,0,0,0,0,2,2,3,,,,,,,,,,,,,15.490877920002093,None,16.47499770001741,None,4.776041666666666,1.1950906999991275,16.47499770001741,None,p,001,2021_Jan_08_1802,piloto1,2020.2.5,60.10261920277429,
