Hertz,volumen,Imagenes,Random,Correcto,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,sound_3.started,sound_3.stopped,Sonido.started,Sonido.stopped,image_2.started,image_2.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,text.started,text.stopped,text_4.started,text_4.stopped,texto_final.started,texto_final.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1000,0.0,imagenes/Alpinito.jpg,0.7416150880621702,None,0,0,0,3,0,17,17,0,,,46.14605831999798,47.1461796000367,47.129518800007645,None,3.36328125,1.1328266999917105,47.129518800007645,None,,,,,,,,,,,j,001,2020_Nov_03_0923,piloto1,2020.2.3,59.89243317278057,
1000,0.0,imagenes/Pizzetas.png,0.3295951589873042,None,0,0,0,3,0,18,18,32,,,47.34622777999612,None,48.33221200003754,None,3.578125,1.1824120999663137,48.33221200003754,None,,,,,,,,,,,j,001,2020_Nov_03_0923,piloto1,2020.2.3,59.89243317278057,
1000,0.0,imagenes/Papas-pollo.jpg,0.08373485417902837,None,0,0,0,3,0,19,19,15,,,48.562537940021144,49.56250120000914,49.56250120000914,None,3.897135416666667,1.223429900011979,49.56250120000914,None,,,,,,,,,,,j,001,2020_Nov_03_0923,piloto1,2020.2.3,59.89243317278057,
1000,0.0,imagenes/Mango.jpeg,0.4341155418941499,None,0,0,0,3,0,20,20,10,,,49.86260568002472,50.86256039998261,50.86256039998261,None,4.567708333333333,1.0735446000471711,50.86256039998261,None,,,,,,,,,,,j,001,2020_Nov_03_0923,piloto1,2020.2.3,59.89243317278057,
1000,0.0,imagenes/Papas-limon.jpg,0.5280798509093595,None,0,0,0,3,0,21,21,14,,,50.99573066000594,None,51.97906789998524,None,4.072916666666667,1.1862221999908797,51.97906789998524,None,,,,,,,,,,,j,001,2020_Nov_03_0923,piloto1,2020.2.3,59.89243317278057,
1000,0.0,imagenes/Manzana.jpg,0.4048420327008191,None,0,0,0,3,0,22,22,11,,,52.26302259997465,None,53.24583120003808,None,3.36328125,1.120770999987144,53.24583120003808,None,,,,,,,,,,,j,001,2020_Nov_03_0923,piloto1,2020.2.3,59.89243317278057,
1000,0.0,imagenes/Croissant.jpg,0.5824748589948932,None,0,0,0,3,0,23,23,5,,,53.46231610001996,None,54.445754099986516,None,2.770833333333333,1.1163800000213087,54.445754099986516,None,,,,,,,,,,,j,001,2020_Nov_03_0923,piloto1,2020.2.3,59.89243317278057,
1000,0.0,imagenes/Popetas.jpg,0.9621625733302204,None,0,0,0,3,0,24,24,16,,,54.695728739991324,55.69757910002954,55.69757910002954,None,3.3372395833333335,1.1445578999700956,55.69757910002954,None,,,,,,,,,,,j,001,2020_Nov_03_0923,piloto1,2020.2.3,59.89243317278057,
1000,0.0,imagenes/Rosquitas (1).jpg,0.024090340010977873,None,0,0,0,3,0,25,25,17,,,55.912334979989105,56.912942600029055,56.912942600029055,None,2.295572916666667,1.1742689000093378,56.912942600029055,None,,,,,,,,,,,j,001,2020_Nov_03_0923,piloto1,2020.2.3,59.89243317278057,
1000,0.0,imagenes/Pandebono.png,0.8988574378129985,None,0,0,0,3,0,26,26,26,,,57.17888010002207,58.17862180003431,58.16220790002262,None,2.868489583333333,1.1844068000209518,58.16220790002262,None,,,,,,,,,,,j,001,2020_Nov_03_0923,piloto1,2020.2.3,59.89243317278057,
1000,0.0,imagenes/Galletas-festival.jpg,0.11306074364032936,None,0,0,0,3,0,27,27,7,,,58.445404700003564,None,59.42879299999913,None,3.4609375,1.30129550001584,59.42879299999913,None,,,,,,,,,,,j,001,2020_Nov_03_0923,piloto1,2020.2.3,59.89243317278057,
1000,0.0,imagenes/pistachos.jpg,0.7450869742741464,None,0,0,0,3,0,28,28,30,,,59.76189911998809,60.762167100037914,60.762167100037914,None,2.438802083333333,1.190887400007341,60.762167100037914,None,,,,,,,,,,,j,001,2020_Nov_03_0923,piloto1,2020.2.3,59.89243317278057,
