Hertz,volumen,Imagenes,Random,Correcto,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,sound_3.started,sound_3.stopped,Sonido.started,Sonido.stopped,image_2.started,image_2.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1000,0.0,imagenes/Pandebono.png,0.8988574378129985,None,0,0,0,3,0,0,0,26,11.408116759959377,None,21.57259999998496,None,22.60783929999161,None,None,None,22.60783929999161,None,,,,,,,je,001,2020_Dec_15_1402,piloto1,2020.2.5,59.745864985432654,
1000,0.0,imagenes/Leche-de-almendras.jpg,0.3886559457994673,None,0,0,0,3,0,1,1,9,,,24.622559479987828,None,25.605489699999453,None,3.571614583333333,1.8137879999994766,25.605489699999453,None,,,,,,,je,001,2020_Dec_15_1402,piloto1,2020.2.5,59.745864985432654,
1000,0.0,imagenes/Banano.jpeg,0.2267656716538785,None,0,0,0,3,0,2,2,1,,,26.52232279999589,27.52200269998866,27.52200269998866,None,3.571614583333333,1.7919312000012724,27.52200269998866,None,,,,,,,je,001,2020_Dec_15_1402,piloto1,2020.2.5,59.745864985432654,
1000,0.0,imagenes/Papas-limon.jpg,0.5280798509093595,None,0,0,0,3,0,3,3,14,,,28.38886505999253,None,29.372056899999734,None,3.571614583333333,1.6323447000031592,29.372056899999734,None,,,,,,,je,001,2020_Dec_15_1402,piloto1,2020.2.5,59.745864985432654,
1000,0.0,imagenes/Papas-pollo.jpg,0.08373485417902837,None,0,0,0,3,0,4,4,15,,,30.055693979997884,None,31.05530209999415,None,3.565104166666667,2.140354600007413,31.05530209999415,None,,,,,,,je,001,2020_Dec_15_1402,piloto1,2020.2.5,59.745864985432654,
1000,0.0,imagenes/Muffin de banano.png,0.9610615059009696,None,0,0,0,3,0,5,5,25,,,32.28874029999133,33.28854460000002,33.27204349999374,None,3.565104166666667,1.3825165000016568,33.27204349999374,None,,,,,,,je,001,2020_Dec_15_1402,piloto1,2020.2.5,59.745864985432654,
1000,0.0,imagenes/Rosquitas (1).jpg,0.024090340010977873,None,0,0,0,3,0,6,6,17,,,33.72185991998703,None,34.70510259999719,None,3.565104166666667,1.51453169999877,34.70510259999719,None,,,,,,,je,001,2020_Dec_15_1402,piloto1,2020.2.5,59.745864985432654,
1000,0.0,imagenes/Almojabanas.png,0.6725051200713246,None,0,0,0,3,0,7,7,20,,,35.288485019994546,36.28868089999014,36.28868089999014,None,3.565104166666667,1.5552999999927124,36.28868089999014,None,,,,,,,je,001,2020_Dec_15_1402,piloto1,2020.2.5,59.745864985432654,
1000,0.0,imagenes/Nutella (1).jpg,0.8826531883338111,None,0,0,0,3,0,8,8,12,,,36.88813717999146,None,37.854929499997525,None,3.565104166666667,1.3053339999896707,37.854929499997525,None,,,,,,,je,001,2020_Dec_15_1402,piloto1,2020.2.5,59.745864985432654,
1000,0.0,imagenes/Galletas Tosh.jpg,0.9129693753280027,None,0,0,0,3,0,9,9,6,,,38.27181059999566,None,39.25501300000178,None,3.565104166666667,1.6807696999894688,39.25501300000178,None,,,,,,,je,001,2020_Dec_15_1402,piloto1,2020.2.5,59.745864985432654,
