Hertz,volumen,Imagenes,Random,Correcto,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,sound_3.started,sound_3.stopped,Sonido.started,Sonido.stopped,image_2.started,image_2.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1000,0.0,imagenes/Brownie.jpg,0.7979372027599965,None,0,0,0,3,0,0,0,3,8.939114959840664,None,19.039089719974434,None,21.068425599951297,None,3.545572916666667,2.826210500090383,21.068425599951297,None,g,001,2020_Oct_27_1211,piloto1,2020.2.3,59.84866666571447,
1000,0.0,imagenes/salchicha hojaldrada.jpg,0.9050800458924835,None,0,0,0,3,0,1,1,35,,,21.9057134399889,None,23.88910169992596,None,4.548177083333333,2.398521599941887,23.88910169992596,None,g,001,2020_Oct_27_1211,piloto1,2020.2.3,59.84866666571447,
1000,0.0,imagenes/Yogurt-alpina.jpg,0.5030983338855501,None,0,0,0,3,0,2,2,18,,,24.33891944000497,None,26.323470799950883,None,2.34765625,2.4813068999210373,26.323470799950883,None,g,001,2020_Oct_27_1211,piloto1,2020.2.3,59.84866666571447,
