Hertz,volumen,Imagenes,Random,Correcto,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,sound_3.started,sound_3.stopped,Sonido.started,Sonido.stopped,image_2.started,image_2.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,text.started,text.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,image.started,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1500,0.02,imagenes/Canelazo.png,0.6730479360767814,None,0,0,0,1,0,16,16,22,,,62.58154115995858,None,63.565700500039384,None,3.513020833333333,1.7526158998953179,63.565700500039384,None,,,,,,,,,,,,,t,001,2021_Jan_05_1602,piloto1,2020.2.5,59.91952807489097,
1500,0.02,imagenes/Nutella (1).jpg,0.8826531883338111,None,0,0,0,1,0,17,17,12,,,64.34839228999336,None,65.34828570007812,None,3.513020833333333,2.1213843999430537,65.34828570007812,None,,,,,,,,,,,,,t,001,2021_Jan_05_1602,piloto1,2020.2.5,59.91952807489097,
1500,0.02,imagenes/Pizza.png,0.21192443516553439,None,0,0,0,1,0,18,18,31,,,66.51511388001964,None,67.48148990003392,None,3.513020833333333,1.6020828000037,67.48148990003392,None,,,,,,,,,,,,,t,001,2021_Jan_05_1602,piloto1,2020.2.5,59.91952807489097,
1500,0.02,imagenes/Pizzetas.png,0.3295951589873042,None,0,0,0,1,0,19,19,32,,,68.14796018004418,69.14809200004674,69.1316529000178,None,3.513020833333333,1.679348099976778,69.1316529000178,None,,,,,,,,,,,,,t,001,2021_Jan_05_1602,piloto1,2020.2.5,59.91952807489097,
1500,0.02,imagenes/Chocoramo.jfif.jpg,0.7425528559884101,None,0,0,0,1,0,20,20,4,,,69.86465708001052,70.86471009999514,70.86471009999514,None,3.513020833333333,1.510699399979785,70.86471009999514,None,,,,,,,,,,,,,t,001,2021_Jan_05_1602,piloto1,2020.2.5,59.91952807489097,
1500,0.02,imagenes/Galletas Tosh.jpg,0.9129693753280027,None,0,0,0,1,0,21,21,6,,,71.44780166000128,None,72.43130190006923,None,3.513020833333333,1.533137199934572,72.43130190006923,None,,,,,,,,,,,,,t,001,2021_Jan_05_1602,piloto1,2020.2.5,59.91952807489097,
1500,0.02,imagenes/Brocoli.jpg,0.24293074945529525,None,0,0,0,1,0,22,22,21,,,72.99781089001335,None,73.99792850005906,None,3.513020833333333,1.8434190000407398,73.99792850005906,None,,,,,,,,,,,,,t,001,2021_Jan_05_1602,piloto1,2020.2.5,59.91952807489097,
1500,0.02,imagenes/Chontaduro.png,0.8693553300418813,None,0,0,0,1,0,23,23,23,,,74.86433269006666,None,75.86464410007466,None,3.513020833333333,1.4038010999793187,75.86464410007466,None,,,,,,,,,,,,,t,001,2021_Jan_05_1602,piloto1,2020.2.5,59.91952807489097,
1500,0.02,imagenes/pistachos.jpg,0.7450869742741464,None,0,0,0,1,0,24,24,30,,,76.29760909003672,77.29767040000297,77.28090560005512,None,3.513020833333333,1.5146983000449836,77.28090560005512,None,,,,,,,,,,,,,t,001,2021_Jan_05_1602,piloto1,2020.2.5,59.91952807489097,
1500,0.02,imagenes/bon-bon-bun.jpg,0.7417452724056987,None,0,0,0,1,0,25,25,2,,,77.8479009800125,78.84766309999395,78.84766309999395,None,3.513020833333333,1.7226564000593498,78.84766309999395,None,,,,,,,,,,,,,t,001,2021_Jan_05_1602,piloto1,2020.2.5,59.91952807489097,
1500,0.02,imagenes/Uvas.jpg,0.4959291644143431,None,0,0,0,1,0,26,26,19,,,79.59750618999824,80.59763700002804,80.59763700002804,None,3.513020833333333,1.8733723000623286,80.59763700002804,None,,,,,,,,,,,,,t,001,2021_Jan_05_1602,piloto1,2020.2.5,59.91952807489097,
1500,0.02,imagenes/Pepinillos.png,0.0038966441241518046,None,0,0,0,1,0,27,27,28,,,81.53067567003892,82.53492150001694,82.51426339999307,None,3.5,1.2982087000273168,82.51426339999307,None,,,,,,,,,,,,,t,001,2021_Jan_05_1602,piloto1,2020.2.5,59.91952807489097,
1500,0.02,imagenes/Croissant.jpg,0.5824748589948932,None,0,0,0,1,0,28,28,5,,,82.88080806997606,83.88088090007659,83.86405970004853,None,3.48046875,1.379079099977389,83.86405970004853,None,,,,,,,,,,,,,t,001,2021_Jan_05_1602,piloto1,2020.2.5,59.91952807489097,
1500,0.02,imagenes/Pescadito.png,0.7172825011486081,None,0,0,0,1,0,29,29,29,,,84.2974640800152,85.29735610005446,85.2807473000139,None,3.532552083333333,2.2297570999944583,85.2807473000139,None,,,,,,,,,,,,,t,001,2021_Jan_05_1602,piloto1,2020.2.5,59.91952807489097,
1500,0.02,imagenes/Papas-naturales.jpg,0.37590629905521566,None,0,0,0,1,0,30,30,13,,,86.56367308003828,None,87.5362164999824,None,3.532552083333333,1.6035016000969335,87.5362164999824,None,,,,,,,,,,,,,t,001,2021_Jan_05_1602,piloto1,2020.2.5,59.91952807489097,
1500,0.02,imagenes/salchicha hojaldrada.jpg,0.7119773165481526,None,0,0,0,1,0,31,31,35,,,88.18049218999222,None,89.16367410006933,None,3.532552083333333,1.5118982000276446,89.16367410006933,None,,,,,,,,,,,,,t,001,2021_Jan_05_1602,piloto1,2020.2.5,59.91952807489097,
1500,0.02,imagenes/Muffin de banano.png,0.9610615059009696,None,0,0,0,1,0,32,32,25,,,89.7470042699948,None,90.73038109997287,None,3.5390625,1.5802299999631941,90.73038109997287,None,,,,,,,,,,,,,t,001,2021_Jan_05_1602,piloto1,2020.2.5,59.91952807489097,
1500,0.02,imagenes/Rollo de queso.png,0.9201641182756888,None,0,0,0,1,0,33,33,33,,,91.38031597007067,None,92.36371190007776,None,3.4479166666666665,1.851506600040011,92.36371190007776,None,,,,,,,,,,,,,t,001,2021_Jan_05_1602,piloto1,2020.2.5,59.91952807489097,
1500,0.02,imagenes/Rosquitas (1).jpg,0.024090340010977873,None,0,0,0,1,0,34,34,17,,,93.2803111700574,94.28027760004625,94.2636587000452,None,3.4479166666666665,1.5451322000008076,94.2636587000452,None,,,,,,,,,,,,,t,001,2021_Jan_05_1602,piloto1,2020.2.5,59.91952807489097,
1500,0.02,imagenes/Pandebono.png,0.8988574378129985,None,0,0,0,1,0,35,35,26,,,94.86351768006571,95.86361500003841,95.84708209999371,None,3.4479166666666665,2.029083300032653,95.84708209999371,None,,,,,,,,,,,,,t,001,2021_Jan_05_1602,piloto1,2020.2.5,59.91952807489097,
1500,0.02,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,t,001,2021_Jan_05_1602,piloto1,2020.2.5,59.91952807489097,
400,0.02,imagenes/Pizza.png,0.21192443516553439,None,0,1,1,0,0,0,0,31,,,96.92998337999452,97.93013870005962,97.93013870005962,None,3.4479166666666665,1.0723006000043824,97.93013870005962,None,,,,,,,,,,,,,t,001,2021_Jan_05_1602,piloto1,2020.2.5,59.91952807489097,
400,0.02,imagenes/Papas-pollo.jpg,0.08373485417902837,None,0,1,1,0,0,1,1,15,,,98.0302154900739,99.03004139999393,99.03004139999393,None,3.4479166666666665,1.3899439999368042,99.03004139999393,None,,,,,,,,,,,,,t,001,2021_Jan_05_1602,piloto1,2020.2.5,59.91952807489097,
400,0.02,imagenes/Canelazo.png,0.6730479360767814,None,0,1,1,0,0,2,2,22,,,99.47962977006101,100.4799363000784,100.4799363000784,None,3.4479166666666665,1.8232820999110118,100.4799363000784,None,,,,,,,,,,,,,t,001,2021_Jan_05_1602,piloto1,2020.2.5,59.91952807489097,
400,0.02,imagenes/bon-bon-bun.jpg,0.7417452724056987,None,0,1,1,0,0,3,3,2,,,101.37976036006584,102.3798690000549,102.3632360000629,None,3.4479166666666665,2.3280882999533787,102.3632360000629,None,,,,,,,,,,,,,t,001,2021_Jan_05_1602,piloto1,2020.2.5,59.91952807489097,
400,0.02,imagenes/Alpinito.jpg,0.7416150880621702,None,0,1,1,0,0,4,4,0,,,103.76328087006696,104.76315550005529,104.76315550005529,None,None,None,104.76315550005529,None,,,,,,,,,,,,,t,001,2021_Jan_05_1602,piloto1,2020.2.5,59.91952807489097,
400,0.02,imagenes/salchicha hojaldrada.jpg,0.7119773165481526,None,0,1,1,0,0,5,5,35,,,106.76297208997421,107.76274879998527,107.76274879998527,106.76546899997629,3.4479166666666665,1.8718415000475943,107.76274879998527,106.76546899997629,,,,,,,,,,,,,t,001,2021_Jan_05_1602,piloto1,2020.2.5,59.91952807489097,
400,0.02,imagenes/pistachos.jpg,0.7450869742741464,None,0,1,1,0,0,6,6,30,,,108.6628116900567,109.66285990003962,109.64620249997824,None,3.4609375,2.9468920999206603,109.64620249997824,None,,,,,,,,,,,,,t,001,2021_Jan_05_1602,piloto1,2020.2.5,59.91952807489097,
