Hertz,volumen,Imagenes,Random,Correcto,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,sound_3.started,sound_3.stopped,Sonido.started,Sonido.stopped,image_2.started,image_2.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1000,0.02,imagenes/bon-bon-bun.jpg,0.7417452724056987,None,0,0,0,2,0,0,0,2,46.58470398004574,None,56.920400200004224,None,58.00625520000176,None,3.3763020833333335,2.0003037999995286,58.00625520000176,None,,,,,,,hola,001,2020_Dec_15_1342,piloto1,2020.2.5,59.989333895528695,
1000,0.02,imagenes/Almojabanas.png,0.6725051200713246,None,0,0,0,2,0,1,1,20,,,59.03763442000199,None,60.023226599994814,None,3.0442708333333335,1.438153199997032,60.023226599994814,None,,,,,,,hola,001,2020_Dec_15_1342,piloto1,2020.2.5,59.989333895528695,
1000,0.02,imagenes/Chocoramo.jfif.jpg,0.7425528559884101,None,0,0,0,2,0,2,2,4,,,60.538085540008616,None,61.523220000002766,None,3.1809895833333335,1.496548700000858,61.523220000002766,None,,,,,,,hola,001,2020_Dec_15_1342,piloto1,2020.2.5,59.989333895528695,
1000,0.02,imagenes/Muffin de banano.png,0.9610615059009696,None,0,0,0,2,0,3,3,25,,,62.18782333999989,None,63.154593600003864,None,3.571614583333333,1.818746499993722,63.154593600003864,None,,,,,,,hola,001,2020_Dec_15_1342,piloto1,2020.2.5,59.989333895528695,
1000,0.02,imagenes/Papas-limon.jpg,0.5280798509093595,None,0,0,0,2,0,4,4,14,,,64.0375528200064,None,65.03806999999506,None,3.571614583333333,1.4283320999966236,65.03806999999506,None,,,,,,,hola,001,2020_Dec_15_1342,piloto1,2020.2.5,59.989333895528695,
1000,0.02,imagenes/Nutella (1).jpg,0.8826531883338111,None,0,0,0,2,0,5,5,12,,,65.50424361999904,66.50465060000715,66.48773409999558,None,3.571614583333333,1.544558399997186,66.48773409999558,None,,,,,,,hola,001,2020_Dec_15_1342,piloto1,2020.2.5,59.989333895528695,
1000,0.02,imagenes/Galletas-festival.jpg,0.11306074364032936,None,0,0,0,2,0,6,6,7,,,67.10397158000269,68.10418989999744,68.10418989999744,None,3.571614583333333,1.5284404999983963,68.10418989999744,None,,,,,,,hola,001,2020_Dec_15_1342,piloto1,2020.2.5,59.989333895528695,
1000,0.02,imagenes/Papas picantes.jpg,0.524978898672612,None,0,0,0,2,0,7,7,27,,,68.65406356000167,69.65393299999414,69.65393299999414,None,3.571614583333333,1.5395387000025949,69.65393299999414,None,,,,,,,hola,001,2020_Dec_15_1342,piloto1,2020.2.5,59.989333895528695,
1000,0.02,imagenes/Rosquitas (1).jpg,0.024090340010977873,None,0,0,0,2,0,8,8,17,,,70.25390628000896,None,71.23715289999382,None,3.571614583333333,1.451433000009274,71.23715289999382,None,,,,,,,hola,001,2020_Dec_15_1342,piloto1,2020.2.5,59.989333895528695,
1000,0.02,imagenes/Croissant.jpg,0.5824748589948932,None,0,0,0,2,0,9,9,5,,,71.75371177999769,None,72.73732119999477,None,3.571614583333333,1.5146099999983562,72.73732119999477,None,,,,,,,hola,001,2020_Dec_15_1342,piloto1,2020.2.5,59.989333895528695,
1000,0.02,imagenes/Leche-de-almendras.jpg,0.3886559457994673,None,0,0,0,2,0,10,10,9,,,73.42013644000109,None,74.40360020000662,None,3.571614583333333,1.6298887000011746,74.40360020000662,None,,,,,,,hola,001,2020_Dec_15_1342,piloto1,2020.2.5,59.989333895528695,
1000,0.02,imagenes/Pizza.png,0.21192443516553439,None,0,0,0,2,0,11,11,31,,,75.08689082000348,None,76.0729668999993,None,3.571614583333333,1.6717786000081105,76.0729668999993,None,,,,,,,hola,001,2020_Dec_15_1342,piloto1,2020.2.5,59.989333895528695,
1000,0.02,imagenes/Papas-naturales.jpg,0.37590629905521566,None,0,0,0,2,0,12,12,13,,,76.78701332000202,77.78687219999847,77.78687219999847,None,3.571614583333333,1.671206599989091,77.78687219999847,None,,,,,,,hola,001,2020_Dec_15_1342,piloto1,2020.2.5,59.989333895528695,
1000,0.02,imagenes/Coliflor.jpg,0.3640740491088985,None,0,0,0,2,0,13,13,24,,,78.48679446000315,79.48670979999588,79.48670979999588,None,3.571614583333333,1.23923890000151,79.48670979999588,None,,,,,,,hola,001,2020_Dec_15_1342,piloto1,2020.2.5,59.989333895528695,
