Hertz,volumen,Imagenes,Random,Correcto,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,sound_3.started,sound_3.stopped,Sonido.started,Sonido.stopped,image_2.started,image_2.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1000,0.0,imagenes/Popetas.jpg,0.9621625733302204,None,0,0,0,3,0,0,0,16,15.233939699991607,None,25.31841649999842,26.375611700001173,26.375611700001173,None,3.3372395833333335,1.636283400002867,26.375611700001173,None,f,001,2020_Nov_03_1123,piloto1,2020.2.3,60.01831759026668,
1000,0.0,imagenes/Rollos de canela.png,0.2610974409574519,None,0,0,0,3,0,1,1,34,,,27.018318799999545,None,28.00033780001104,None,4.561197916666667,1.49521189997904,28.00033780001104,None,f,001,2020_Nov_03_1123,piloto1,2020.2.3,60.01831759026668,
1000,0.0,imagenes/Pescadito.png,0.7172825011486081,None,0,0,0,3,0,2,2,29,,,28.566734700032978,29.566705400007777,29.550226700026542,None,3.5,1.334976599959191,29.550226700026542,None,f,001,2020_Nov_03_1123,piloto1,2020.2.3,60.01831759026668,
1000,0.0,imagenes/Almojabanas.png,0.6725051200713246,None,0,0,0,3,0,3,3,20,,,29.949987000005788,30.949950900045224,30.933603600016795,None,2.380208333333333,1.061451899993699,30.933603600016795,None,f,001,2020_Nov_03_1123,piloto1,2020.2.3,60.01831759026668,
1000,0.0,imagenes/Pizza.png,0.21192443516553439,None,0,0,0,3,0,4,4,31,,,31.033266499999446,32.033403900044505,32.033403900044505,None,4.912760416666666,1.288038200000301,32.033403900044505,None,f,001,2020_Nov_03_1123,piloto1,2020.2.3,60.01831759026668,
1000,0.0,imagenes/pistachos.jpg,0.7450869742741464,None,0,0,0,3,0,5,5,30,,,32.349867000023366,33.349934300000314,33.33327679999638,None,3.526041666666667,1.0791548000415787,33.33327679999638,None,f,001,2020_Nov_03_1123,piloto1,2020.2.3,60.01831759026668,
1000,0.0,imagenes/Uvas.jpg,0.4959291644143431,None,0,0,0,3,0,6,6,19,,,33.466683400003234,None,34.450121900008526,None,4.580729166666667,1.0651195000391454,34.450121900008526,None,f,001,2020_Nov_03_1123,piloto1,2020.2.3,60.01831759026668,
1000,0.0,imagenes/Yogurt-alpina.jpg,0.5445152936222175,None,0,0,0,3,0,7,7,18,,,34.54969230004353,35.54993660002947,35.54993660002947,None,2.171875,1.1435108000296168,35.54993660002947,None,f,001,2020_Nov_03_1123,piloto1,2020.2.3,60.01831759026668,
1000,0.0,imagenes/Kiwi.jpg,0.3929145850942286,None,0,0,0,3,0,8,8,8,,,35.71643440001644,36.71651360002579,36.71651360002579,None,3.981770833333333,1.225025399995502,36.71651360002579,None,f,001,2020_Nov_03_1123,piloto1,2020.2.3,60.01831759026668,
1000,0.0,imagenes/Mango.jpeg,0.4341155418941499,None,0,0,0,3,0,9,9,10,,,36.98307909999275,37.9829827999929,37.96656020003138,None,4.561197916666667,1.1635611000237986,37.96656020003138,None,f,001,2020_Nov_03_1123,piloto1,2020.2.3,60.01831759026668,
1000,0.0,imagenes/Croissant.jpg,0.5824748589948932,None,0,0,0,3,0,10,10,5,,,38.21636260002851,None,39.21657580003375,None,5.27734375,1.3754616000223905,39.21657580003375,None,f,001,2020_Nov_03_1123,piloto1,2020.2.3,60.01831759026668,
1000,0.0,imagenes/Banano.jpeg,0.2267656716538785,None,0,0,0,3,0,11,11,1,,,39.61630649999715,40.61633540003095,40.61633540003095,None,3.59765625,1.37532769999234,40.61633540003095,None,f,001,2020_Nov_03_1123,piloto1,2020.2.3,60.01831759026668,
1000,0.0,imagenes/Galletas-festival.jpg,0.11306074364032936,None,0,0,0,3,0,12,12,7,,,41.032941200037016,42.033049100020435,42.033049100020435,None,4.45703125,1.3428218999761157,42.033049100020435,None,f,001,2020_Nov_03_1123,piloto1,2020.2.3,60.01831759026668,
1000,0.0,imagenes/bon-bon-bun.jpg,0.7417452724056987,None,0,0,0,3,0,13,13,2,,,42.432737800036556,43.43270000000484,43.416347299993504,None,3.3763020833333335,1.3132175000500865,43.416347299993504,None,f,001,2020_Nov_03_1123,piloto1,2020.2.3,60.01831759026668,
1000,0.0,imagenes/Brownie.jpg,0.2838924074864093,None,0,0,0,3,0,14,14,3,,,43.799356900015844,44.7997523000231,44.7997523000231,None,4.489583333333333,1.4236644000047818,44.7997523000231,None,f,001,2020_Nov_03_1123,piloto1,2020.2.3,60.01831759026668,
1000,0.0,imagenes/Chontaduro.png,0.8693553300418813,None,0,0,0,3,0,15,15,23,,,45.24953390001319,None,46.24934919999214,None,3.3893229166666665,1.3437257999903522,46.24934919999214,None,f,001,2020_Nov_03_1123,piloto1,2020.2.3,60.01831759026668,
1000,0.0,imagenes/Leche-de-almendras.jpg,0.3886559457994673,None,0,0,0,3,0,16,16,9,,,46.76591329998337,None,47.750370100024156,None,2.328125,1.1958592999726534,47.750370100024156,None,f,001,2020_Nov_03_1123,piloto1,2020.2.3,60.01831759026668,
1000,0.0,imagenes/Alpinito.jpg,0.7416150880621702,None,0,0,0,3,0,17,17,0,,,48.049504599999636,None,49.032878800004255,None,3.87109375,1.05087919998914,49.032878800004255,None,f,001,2020_Nov_03_1123,piloto1,2020.2.3,60.01831759026668,
1000,0.0,imagenes/Papas picantes.jpg,0.524978898672612,None,0,0,0,3,0,18,18,27,,,49.11586150004295,None,50.09916320000775,None,4.723958333333333,1.2976058999774978,50.09916320000775,None,f,001,2020_Nov_03_1123,piloto1,2020.2.3,60.01831759026668,
1000,0.0,imagenes/Canelazo.png,0.6730479360767814,None,0,0,0,3,0,19,19,22,,,50.48230170003371,None,51.46607900003437,None,3.604166666666667,1.1650979000260122,51.46607900003437,None,f,001,2020_Nov_03_1123,piloto1,2020.2.3,60.01831759026668,
1000,0.0,imagenes/Coliflor.jpg,0.3640740491088985,None,0,0,0,3,0,20,20,24,,,51.68242029999382,None,52.66585580003448,None,4.463541666666667,1.335024899977725,52.66585580003448,None,f,001,2020_Nov_03_1123,piloto1,2020.2.3,60.01831759026668,
1000,0.0,imagenes/Chocoramo.jfif.jpg,0.7425528559884101,None,0,0,0,3,0,21,21,4,,,53.06559600003529,None,54.032664600003045,None,4.59375,1.51914189994568,54.032664600003045,None,f,001,2020_Nov_03_1123,piloto1,2020.2.3,60.01831759026668,
1000,0.0,imagenes/Papas-limon.jpg,0.5280798509093595,None,0,0,0,3,0,22,22,14,,,54.598906599986364,55.59901050000917,55.59901050000917,None,4.522135416666667,1.5437570000067353,55.59901050000917,None,f,001,2020_Nov_03_1123,piloto1,2020.2.3,60.01831759026668,
1000,0.0,imagenes/Muffin de banano.png,0.9610615059009696,None,0,0,0,3,0,23,23,25,,,56.19885560000548,57.199211500003,57.199211500003,None,4.522135416666667,1.6074842999805696,57.199211500003,None,f,001,2020_Nov_03_1123,piloto1,2020.2.3,60.01831759026668,
1000,0.0,imagenes/Pizzetas.png,0.3295951589873042,None,0,0,0,3,0,24,24,32,,,57.83207379998639,58.832268099999055,58.832268099999055,None,3.4153645833333335,1.8550159999867901,58.832268099999055,None,f,001,2020_Nov_03_1123,piloto1,2020.2.3,60.01831759026668,
1000,0.0,imagenes/Papas-pollo.jpg,0.08373485417902837,None,0,0,0,3,0,25,25,15,,,59.71531010001199,60.71535000001313,60.71535000001313,None,3.708333333333333,1.6040493000182323,60.71535000001313,None,f,001,2020_Nov_03_1123,piloto1,2020.2.3,60.01831759026668,
1000,0.0,imagenes/Rollo de queso.png,0.9201641182756888,None,0,0,0,3,0,26,26,33,,,61.381849800038616,None,62.36542270000791,None,3.643229166666667,1.6154886999865994,62.36542270000791,None,f,001,2020_Nov_03_1123,piloto1,2020.2.3,60.01831759026668,
1000,0.0,imagenes/Pepinillos.png,0.0038966441241518046,None,0,0,0,3,0,27,27,28,,,63.0318626000313,64.03206689999206,64.03206689999206,None,3.4088541666666665,1.6398225000011735,64.03206689999206,None,f,001,2020_Nov_03_1123,piloto1,2020.2.3,60.01831759026668,
1000,0.0,imagenes/Galletas Tosh.jpg,0.9129693753280027,None,0,0,0,3,0,28,28,6,,,64.73172660000854,None,65.715257200005,None,3.591145833333333,1.751947899989318,65.715257200005,None,f,001,2020_Nov_03_1123,piloto1,2020.2.3,60.01831759026668,
1000,0.0,imagenes/Nutella (1).jpg,0.8826531883338111,None,0,0,0,3,0,29,29,12,,,66.51493090003495,None,67.49829459999455,None,4.528645833333333,1.5691902000107802,67.49829459999455,None,f,001,2020_Nov_03_1123,piloto1,2020.2.3,60.01831759026668,
1000,0.0,imagenes/salchicha hojaldrada.jpg,0.7119773165481526,None,0,0,0,3,0,30,30,35,,,68.0982134000049,69.09818490000907,69.09818490000907,None,5.505208333333334,1.5272237999597564,69.09818490000907,None,f,001,2020_Nov_03_1123,piloto1,2020.2.3,60.01831759026668,
1000,0.0,imagenes/Rosquitas (1).jpg,0.024090340010977873,None,0,0,0,3,0,31,31,17,,,69.66486819998826,70.665035300015,70.665035300015,None,2.627604166666667,1.8382097999565303,70.665035300015,None,f,001,2020_Nov_03_1123,piloto1,2020.2.3,60.01831759026668,
1000,0.0,imagenes/Pandebono.png,0.8988574378129985,None,0,0,0,3,0,32,32,26,,,71.54808290002401,72.54817480000202,72.54817480000202,None,1.4947916666666665,1.6593426000326872,72.54817480000202,None,f,001,2020_Nov_03_1123,piloto1,2020.2.3,60.01831759026668,
1000,0.0,imagenes/Manzana.jpg,0.4048420327008191,None,0,0,0,3,0,33,33,11,,,73.2479653000133,74.24822160002077,74.24822160002077,None,2.731770833333333,1.871135899971705,74.24822160002077,None,f,001,2020_Nov_03_1123,piloto1,2020.2.3,60.01831759026668,
1000,0.0,imagenes/Papas-naturales.jpg,0.37590629905521566,None,0,0,0,3,0,34,34,13,,,75.14789840003941,76.14795740001136,76.14795740001136,None,3.51953125,1.7869368999963626,76.14795740001136,None,f,001,2020_Nov_03_1123,piloto1,2020.2.3,60.01831759026668,
1000,0.0,imagenes/Brocoli.jpg,0.24293074945529525,None,0,0,0,3,0,35,35,21,,,76.96442670003744,77.96436230000108,77.96436230000108,None,None,None,77.96436230000108,None,f,001,2020_Nov_03_1123,piloto1,2020.2.3,60.01831759026668,
1000,0.0,,,,0,0,0,3,,,,,,,,,,,,,,,f,001,2020_Nov_03_1123,piloto1,2020.2.3,60.01831759026668,
1000,0.02,imagenes/Croissant.jpg,0.5824748589948932,None,0,1,1,2,0,0,0,5,,,80.0143732000026,81.01458610000554,81.01458610000554,80.01078800001414,3.584635416666667,1.8609140000189655,81.01458610000554,80.01078800001414,f,001,2020_Nov_03_1123,piloto1,2020.2.3,60.01831759026668,
1000,0.02,imagenes/Rosquitas (1).jpg,0.024090340010977873,None,0,1,1,2,0,1,1,17,,,81.93094670001882,82.93096000002697,82.91437960002804,None,None,None,82.91437960002804,None,f,001,2020_Nov_03_1123,piloto1,2020.2.3,60.01831759026668,
1000,0.02,imagenes/Chocoramo.jfif.jpg,0.7425528559884101,None,0,1,1,2,0,2,2,4,,,84.96403750001919,85.96409240004141,85.94770840002457,84.9570429000305,3.44140625,1.5303695000475273,85.94770840002457,84.9570429000305,f,001,2020_Nov_03_1123,piloto1,2020.2.3,60.01831759026668,
1000,0.02,imagenes/Papas-limon.jpg,0.5280798509093595,None,0,1,1,2,0,3,3,14,,,86.51403830003692,87.51409720000811,87.51409720000811,None,4.352864583333333,2.020793200004846,87.51409720000811,None,f,001,2020_Nov_03_1123,piloto1,2020.2.3,60.01831759026668,
1000,0.02,imagenes/Popetas.jpg,0.9621625733302204,None,0,1,1,2,0,4,4,16,,,88.63056150003104,89.6309665000299,89.6309665000299,None,3.44140625,2.0913899000152014,89.6309665000299,None,f,001,2020_Nov_03_1123,piloto1,2020.2.3,60.01831759026668,
1000,0.02,imagenes/Papas-pollo.jpg,0.08373485417902837,None,0,1,1,2,0,5,5,15,,,90.74729959999677,91.7472117000143,91.7472117000143,None,3.59765625,1.7375252000056207,91.7472117000143,None,f,001,2020_Nov_03_1123,piloto1,2020.2.3,60.01831759026668,
1000,0.02,imagenes/Nutella (1).jpg,0.8826531883338111,None,0,1,1,2,0,6,6,12,,,92.51373429999221,93.5137751000002,93.5137751000002,None,4.37890625,1.8270859000040218,93.5137751000002,None,f,001,2020_Nov_03_1123,piloto1,2020.2.3,60.01831759026668,
1000,0.02,imagenes/Muffin de banano.png,0.9610615059009696,None,0,1,1,2,0,7,7,25,,,94.39702420004177,None,95.39734710002085,None,4.411458333333333,2.0732823999715038,95.39734710002085,None,f,001,2020_Nov_03_1123,piloto1,2020.2.3,60.01831759026668,
1000,0.02,imagenes/Chontaduro.png,0.8693553300418813,None,0,1,1,2,0,8,8,23,,,96.51360900003928,97.51347960002022,97.49692549998872,None,4.587239583333333,1.9002091999864206,97.49692549998872,None,f,001,2020_Nov_03_1123,piloto1,2020.2.3,60.01831759026668,
1000,0.02,imagenes/Yogurt-alpina.jpg,0.5445152936222175,None,0,1,1,2,0,9,9,18,,,98.4467727000243,None,99.43019879999338,None,4.541666666666667,1.685123199946247,99.43019879999338,None,f,001,2020_Nov_03_1123,piloto1,2020.2.3,60.01831759026668,
1000,0.02,imagenes/Almojabanas.png,0.6725051200713246,None,0,1,1,2,0,10,10,20,,,100.16337670003995,101.16331050003646,101.14695070002927,None,3.28515625,1.582048100011889,101.14695070002927,None,f,001,2020_Nov_03_1123,piloto1,2020.2.3,60.01831759026668,
1000,0.02,imagenes/Pizzetas.png,0.3295951589873042,None,0,1,1,2,0,11,11,32,,,101.77993720003869,102.77989510004409,102.76351800002158,None,2.712239583333333,1.0281645000213757,102.76351800002158,None,f,001,2020_Nov_03_1123,piloto1,2020.2.3,60.01831759026668,
1000,0.02,imagenes/Brownie.jpg,0.2838924074864093,None,0,1,1,2,0,12,12,3,,,102.87991060001077,103.88025300001027,103.88025300001027,None,3.643229166666667,1.2266756999888457,103.88025300001027,None,f,001,2020_Nov_03_1123,piloto1,2020.2.3,60.01831759026668,
1000,0.02,imagenes/bon-bon-bun.jpg,0.7417452724056987,None,0,1,1,2,0,13,13,2,,,104.17991019999609,105.18027060001623,105.18027060001623,None,4.580729166666667,1.4572763000032865,105.18027060001623,None,f,001,2020_Nov_03_1123,piloto1,2020.2.3,60.01831759026668,
1000,0.02,imagenes/Galletas-festival.jpg,0.11306074364032936,None,0,1,1,2,0,14,14,7,,,105.67978279999224,106.67995100002736,106.67995100002736,None,5.58984375,1.475700999959372,106.67995100002736,None,f,001,2020_Nov_03_1123,piloto1,2020.2.3,60.01831759026668,
1000,0.02,imagenes/pistachos.jpg,0.7450869742741464,None,0,1,1,2,0,15,15,30,,,107.1796744000283,108.17970290000085,108.16301509999903,None,4.190104166666667,1.4963999999454245,108.16301509999903,None,f,001,2020_Nov_03_1123,piloto1,2020.2.3,60.01831759026668,
1000,0.02,imagenes/Galletas Tosh.jpg,0.9129693753280027,None,0,1,1,2,0,16,16,6,,,108.7296211999841,None,109.71319430001313,None,4.4375,1.6987998000113294,109.71319430001313,None,f,001,2020_Nov_03_1123,piloto1,2020.2.3,60.01831759026668,
1000,0.02,imagenes/Uvas.jpg,0.4959291644143431,None,0,1,1,2,0,17,17,19,,,110.44617040002485,111.44634369999403,111.44634369999403,None,4.430989583333333,2.5932927999529056,111.44634369999403,None,f,001,2020_Nov_03_1123,piloto1,2020.2.3,60.01831759026668,
1000,0.02,imagenes/Banano.jpeg,0.2267656716538785,None,0,1,1,2,0,18,18,1,,,113.0794310000143,None,114.06281160004437,None,4.7109375,1.5672912999871187,114.06281160004437,None,f,001,2020_Nov_03_1123,piloto1,2020.2.3,60.01831759026668,
1000,0.02,imagenes/Coliflor.jpg,0.3640740491088985,None,0,1,1,2,0,19,19,24,,,114.66274080001749,None,115.66283710004063,None,4.463541666666667,2.259708400000818,115.66283710004063,None,f,001,2020_Nov_03_1123,piloto1,2020.2.3,60.01831759026668,
1000,0.02,imagenes/Pizza.png,0.21192443516553439,None,0,1,1,2,0,20,20,31,,,116.96254579998785,None,117.94583520002197,None,3.532552083333333,1.7172197000472806,117.94583520002197,None,f,001,2020_Nov_03_1123,piloto1,2020.2.3,60.01831759026668,
1000,0.02,imagenes/Manzana.jpg,0.4048420327008191,None,0,1,1,2,0,21,21,11,,,118.72906730001559,119.729405399994,119.729405399994,None,2.529947916666667,1.5916679000365548,119.729405399994,None,f,001,2020_Nov_03_1123,piloto1,2020.2.3,60.01831759026668,
1000,0.02,imagenes/salchicha hojaldrada.jpg,0.7119773165481526,None,0,1,1,2,0,22,22,35,,,120.34571870004292,None,121.32916150003439,None,3.662760416666667,1.379313999961596,121.32916150003439,None,f,001,2020_Nov_03_1123,piloto1,2020.2.3,60.01831759026668,
1000,0.02,imagenes/Rollo de queso.png,0.9201641182756888,None,0,1,1,2,0,23,23,33,,,121.76236710001248,122.76253980002366,122.76253980002366,None,3.0442708333333335,1.6369086999911815,122.76253980002366,None,f,001,2020_Nov_03_1123,piloto1,2020.2.3,60.01831759026668,
1000,0.02,imagenes/Pescadito.png,0.7172825011486081,None,0,1,1,2,0,24,24,29,,,123.44557430003769,None,124.42902660003165,None,4.10546875,1.3955843999865465,124.42902660003165,None,f,001,2020_Nov_03_1123,piloto1,2020.2.3,60.01831759026668,
1000,0.02,imagenes/Pandebono.png,0.8988574378129985,None,0,1,1,2,0,25,25,26,,,124.87879870001925,125.87880340003176,125.86228910001228,None,4.53515625,1.6942085000337102,125.86228910001228,None,f,001,2020_Nov_03_1123,piloto1,2020.2.3,60.01831759026668,
1000,0.02,imagenes/Rollos de canela.png,0.2610974409574519,None,0,1,1,2,0,26,26,34,,,126.59543629998807,127.59555070003262,127.59555070003262,None,4.567708333333333,1.9215871999622323,127.59555070003262,None,f,001,2020_Nov_03_1123,piloto1,2020.2.3,60.01831759026668,
1000,0.02,imagenes/Brocoli.jpg,0.24293074945529525,None,0,1,1,2,0,27,27,21,,,128.54524710001425,None,129.545379600022,None,5.173177083333334,1.5597782999975607,129.545379600022,None,f,001,2020_Nov_03_1123,piloto1,2020.2.3,60.01831759026668,
1000,0.02,imagenes/Leche-de-almendras.jpg,0.3886559457994673,None,0,1,1,2,0,28,28,9,,,130.27860379999038,None,131.2794903999893,None,4.365885416666667,1.3595268999924883,131.2794903999893,None,f,001,2020_Nov_03_1123,piloto1,2020.2.3,60.01831759026668,
1000,0.02,imagenes/Papas-naturales.jpg,0.37590629905521566,None,0,1,1,2,0,29,29,13,,,131.66207800003468,132.66193850000855,132.66193850000855,None,4.626302083333333,1.42730570002459,132.66193850000855,None,f,001,2020_Nov_03_1123,piloto1,2020.2.3,60.01831759026668,
1000,0.02,imagenes/Alpinito.jpg,0.7416150880621702,None,0,1,1,2,0,30,30,0,,,133.1618228999898,134.16205250000348,134.16205250000348,None,5.231770833333334,1.588456799974665,134.16205250000348,None,f,001,2020_Nov_03_1123,piloto1,2020.2.3,60.01831759026668,
1000,0.02,imagenes/Kiwi.jpg,0.3929145850942286,None,0,1,1,2,0,31,31,8,,,134.77844470001293,135.77845640003216,135.77845640003216,None,4.522135416666667,2.0244986999896355,135.77845640003216,None,f,001,2020_Nov_03_1123,piloto1,2020.2.3,60.01831759026668,
1000,0.02,imagenes/Canelazo.png,0.6730479360767814,None,0,1,1,2,0,32,32,22,,,136.84487049999882,137.845289400022,137.845289400022,None,4.404947916666667,2.127170499996282,137.845289400022,None,f,001,2020_Nov_03_1123,piloto1,2020.2.3,60.01831759026668,
1000,0.02,imagenes/Mango.jpeg,0.4341155418941499,None,0,1,1,2,0,33,33,10,,,139.0116259000148,140.0114155000192,139.99499090004247,None,3.506510416666667,2.1450615999638103,139.99499090004247,None,f,001,2020_Nov_03_1123,piloto1,2020.2.3,60.01831759026668,
