Hertz,volumen,Imagenes,Random,Correcto,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Sonido.started,Sonido.stopped,image_2.started,image_2.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1000,0.0,imagenes\Papas-naturales.jpg,0.15856838916280946,None,0,0,0,3,0,0,0,13,12.289496219996362,None,12.332503799989354,None,None,None,12.332503799989354,None,w,001,2020_Oct_06_1112,piloto1,2020.2.3,59.880454656277315,
1000,0.0,imagenes\Rosquitas (1).jpg,0.3035383390851263,None,0,0,0,3,0,1,1,17,13.272792759985895,None,13.268609499995364,None,None,None,13.268609499995364,None,w,001,2020_Oct_06_1112,piloto1,2020.2.3,59.880454656277315,
1000,0.0,imagenes\Manzana.jpg,0.5168162194437935,None,0,0,0,3,0,2,2,11,14.272751059988513,14.286811800004216,14.279396600002656,None,3.4544270833333335,0.17086859999108128,14.279396600002656,None,w,001,2020_Oct_06_1112,piloto1,2020.2.3,59.880454656277315,
1000,0.0,imagenes\Chocoramo.jfif.jpg,0.7789437122019539,None,0,0,0,3,0,3,3,4,14.589368980011203,None,14.593168399995193,None,3.4544270833333335,0.1326423000136856,14.593168399995193,None,w,001,2020_Oct_06_1112,piloto1,2020.2.3,59.880454656277315,
1000,0.0,imagenes\Croissant.jpg,0.6152458173421255,None,0,0,0,3,0,4,4,5,14.755551819998072,None,14.75182199999108,None,3.4544270833333335,0.1305718999938108,14.75182199999108,None,w,001,2020_Oct_06_1112,piloto1,2020.2.3,59.880454656277315,
1000,0.0,imagenes\Uvas.jpg,0.7734382152670648,None,0,0,0,3,0,5,5,19,14.955904840002768,14.972336300008465,14.96394399998826,None,3.4544270833333335,0.07096439998713322,14.96394399998826,None,w,001,2020_Oct_06_1112,piloto1,2020.2.3,59.880454656277315,
1000,0.0,imagenes\Brownie.jpg,0.17000143351927688,None,0,0,0,3,0,6,6,3,15.139007560000755,None,15.133328800002346,None,3.4544270833333335,0.06807300000218675,15.133328800002346,None,w,001,2020_Oct_06_1112,piloto1,2020.2.3,59.880454656277315,
1000,0.0,imagenes\Alpinito.jpg,0.4515332417045813,None,0,0,0,3,0,7,7,0,15.35631713999319,15.351692299998831,15.346543599996949,None,3.4544270833333335,0.4197784000134561,15.346543599996949,None,w,001,2020_Oct_06_1112,piloto1,2020.2.3,59.880454656277315,
1000,0.0,imagenes\Kiwi.jpg,0.5893907384852061,None,0,0,0,3,0,8,8,8,15.822773979988414,15.830085299996426,15.822985800012248,None,3.4544270833333335,0.32830040002590977,15.822985800012248,None,w,001,2020_Oct_06_1112,piloto1,2020.2.3,59.880454656277315,
1000,0.0,imagenes\Galletas-festival.jpg,0.36121121246191135,None,0,0,0,3,0,9,9,7,16.23961849999614,16.24864289999823,16.241448399989167,None,3.4544270833333335,0.09372000000439584,16.241448399989167,None,w,001,2020_Oct_06_1112,piloto1,2020.2.3,59.880454656277315,
1000,0.0,imagenes\Nutella (1).jpg,0.5277483225747329,None,0,0,0,3,0,10,10,12,16.405727840005422,16.408247199986363,16.400719299999764,None,3.4544270833333335,0.2846553999988828,16.400719299999764,None,w,001,2020_Oct_06_1112,piloto1,2020.2.3,59.880454656277315,
