Hertz,volumen,Imagenes,Random,Correcto,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,sound_3.started,sound_3.stopped,Sonido.started,Sonido.stopped,image_2.started,image_2.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,text.started,text.stopped,text_4.started,text_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1500,0.02,imagenes/Yogurt-alpina.jpg,0.5445152936222175,None,0,0,0,1,0,0,0,18,8.922178799868561,None,19.005537800025195,None,20.018358399975114,None,3.630208333333333,1.8300993000157177,20.018358399975114,None,,,,,g,001,2020_Oct_27_1212,piloto1,2020.2.3,59.91371227018931,
1500,0.02,imagenes/Leche-de-almendras.jpg,0.3886559457994673,None,0,0,0,1,0,1,1,9,,,20.93907151997555,21.93987870006822,21.93987870006822,None,4.57421875,1.6381555000552908,21.93987870006822,None,,,,,g,001,2020_Oct_27_1212,piloto1,2020.2.3,59.91371227018931,
1500,0.02,imagenes/Rollos de canela.png,0.2610974409574519,None,0,0,0,1,0,2,2,34,,,22.622743440046904,None,23.622549299965613,None,3.4609375,1.4870746999513358,23.622549299965613,None,,,,,g,001,2020_Oct_27_1212,piloto1,2020.2.3,59.91371227018931,
1500,0.02,imagenes/Canelazo.png,0.6730479360767814,None,0,0,0,1,0,3,3,22,,,24.18899347996339,25.189125700038858,25.172770100063644,None,4.0078125,1.4144494999200106,25.172770100063644,None,,,,,g,001,2020_Oct_27_1212,piloto1,2020.2.3,59.91371227018931,
1500,0.02,imagenes/Manzana.jpg,0.4048420327008191,None,0,0,0,1,0,4,4,11,,,25.63883433998562,26.639069200027734,26.639069200027734,None,3.565104166666667,1.3429802999598905,26.639069200027734,None,,,,,g,001,2020_Oct_27_1212,piloto1,2020.2.3,59.91371227018931,
1500,0.02,imagenes/Nutella (1).jpg,0.8826531883338111,None,0,0,0,1,0,5,5,12,,,27.00557861998677,28.005354200024158,28.005354200024158,None,4.372395833333333,1.388463900075294,28.005354200024158,None,,,,,g,001,2020_Oct_27_1212,piloto1,2020.2.3,59.91371227018931,
1500,0.02,imagenes/Galletas-festival.jpg,0.11306074364032936,None,0,0,0,1,0,6,6,7,,,28.438345140032467,29.438525600009598,29.422453499981202,None,3.838541666666667,1.3507554000243545,29.422453499981202,None,,,,,g,001,2020_Oct_27_1212,piloto1,2020.2.3,59.91371227018931,
1500,0.02,imagenes/Kiwi.jpg,0.3929145850942286,None,0,0,0,1,0,7,7,8,,,29.805442820047027,None,30.80520050006453,None,4.522135416666667,1.3415128999622539,30.80520050006453,None,,,,,g,001,2020_Oct_27_1212,piloto1,2020.2.3,59.91371227018931,
1500,0.02,imagenes/Papas-pollo.jpg,0.08373485417902837,None,0,0,0,1,0,8,8,15,,,31.17166972006671,32.17221580003388,32.17221580003388,None,3.819010416666667,1.3199279999826103,32.17221580003388,None,,,,,g,001,2020_Oct_27_1212,piloto1,2020.2.3,59.91371227018931,
1500,0.02,imagenes/Brocoli.jpg,0.24293074945529525,None,0,0,0,1,0,9,9,21,,,32.52161042005755,None,33.52221359999385,None,4.333333333333333,1.3272401000140235,33.52221359999385,None,,,,,g,001,2020_Oct_27_1212,piloto1,2020.2.3,59.91371227018931,
1500,0.02,imagenes/Brownie.jpg,0.2838924074864093,None,0,0,0,1,0,10,10,3,,,33.88818444004282,34.888947000028566,34.888947000028566,None,3.3763020833333335,1.4402291000587866,34.888947000028566,None,,,,,g,001,2020_Oct_27_1212,piloto1,2020.2.3,59.91371227018931,
1500,0.02,imagenes/Rollo de queso.png,0.9201641182756888,None,0,0,0,1,0,11,11,33,,,35.37172084006015,None,36.36085419997107,None,4.014322916666667,1.3629864000249654,36.36085419997107,None,,,,,g,001,2020_Oct_27_1212,piloto1,2020.2.3,59.91371227018931,
1500,0.02,imagenes/Papas-limon.jpg,0.5280798509093595,None,0,0,0,1,0,12,12,14,,,36.75487052006647,None,37.7551043999847,None,2.5625,1.3223353000357747,37.7551043999847,None,,,,,g,001,2020_Oct_27_1212,piloto1,2020.2.3,59.91371227018931,
