Hertz,volumen,Imagenes,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,sound_3.started,sound_3.stopped,sound_2.started,sound_2.stopped,image_2.started,image_2.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1000,0.0,,0,0,0,3,,,,,,,,,,,,,,,Sebastián,001,2020_Sep_05_1908,piloto1,2020.2.3,59.8533592680541,
400,0.02,imagenes\Banano.jpeg,0,1,1,0,0,0,0,1,,,46.581276539992544,None,46.58294009999372,None,5.4921875,0.3417201000265777,46.58294009999372,None,Sebastián,001,2020_Sep_05_1908,piloto1,2020.2.3,59.8533592680541,
400,0.02,imagenes\bon-bon-bun.jpg,0,1,1,0,0,1,1,2,,,46.96492404000601,None,46.96505999995861,None,3.48046875,2.1595880999811925,46.96505999995861,None,Sebastián,001,2020_Sep_05_1908,piloto1,2020.2.3,59.8533592680541,
400,0.02,imagenes\Kiwi.jpg,0,1,1,0,0,2,2,8,,,49.147544519999066,None,49.15075769997202,None,2.471354166666667,0.5743684000335634,49.15075769997202,None,Sebastián,001,2020_Sep_05_1908,piloto1,2020.2.3,59.8533592680541,
400,0.02,imagenes\Chocoramo.jfif.jpg,0,1,1,0,0,3,3,4,,,49.76482313998277,None,49.7678062999621,None,4.619791666666667,0.7238627999904566,49.7678062999621,None,Sebastián,001,2020_Sep_05_1908,piloto1,2020.2.3,59.8533592680541,
400,0.02,imagenes\Manzana.jpg,0,1,1,0,0,4,4,11,,,50.53099103998393,None,50.53540619998239,None,1.7552083333333335,0.5228181999991648,50.53540619998239,None,Sebastián,001,2020_Sep_05_1908,piloto1,2020.2.3,59.8533592680541,
400,0.02,imagenes\Mango.jpeg,0,1,1,0,0,5,5,10,,,51.09769243996125,None,51.09676029998809,None,5.661458333333334,0.4632267000270076,51.09676029998809,None,Sebastián,001,2020_Sep_05_1908,piloto1,2020.2.3,59.8533592680541,
400,0.02,imagenes\Papas-pollo.jpg,0,1,1,0,0,6,6,15,,,51.58133062000852,None,51.586384999973234,None,4.0078125,0.27217820001533255,51.586384999973234,None,Sebastián,001,2020_Sep_05_1908,piloto1,2020.2.3,59.8533592680541,
400,0.02,imagenes\Papas-limon.jpg,0,1,1,0,0,7,7,14,,,51.88132871998241,None,51.88467669999227,None,3.1875,0.2217329999548383,51.88467669999227,None,Sebastián,001,2020_Sep_05_1908,piloto1,2020.2.3,59.8533592680541,
400,0.02,imagenes\Rosquitas (1).jpg,0,1,1,0,0,8,8,17,,,52.14775334000588,None,52.14653410000028,None,2.256510416666667,0.22675180004443973,52.14653410000028,None,Sebastián,001,2020_Sep_05_1908,piloto1,2020.2.3,59.8533592680541,
400,0.02,imagenes\Popetas.jpg,0,1,1,0,0,9,9,16,,,52.43115535996622,None,52.43034169997554,None,4.463541666666667,0.1950652999803424,52.43034169997554,None,Sebastián,001,2020_Sep_05_1908,piloto1,2020.2.3,59.8533592680541,
400,0.02,imagenes\Uvas.jpg,0,1,1,0,0,10,10,19,,,52.6647174399579,None,52.65677840000717,None,2.69921875,0.18465439998544753,52.65677840000717,None,Sebastián,001,2020_Sep_05_1908,piloto1,2020.2.3,59.8533592680541,
400,0.02,imagenes\Galletas Tosh.jpg,0,1,1,0,0,11,11,6,,,52.88091703997925,None,52.88681309996173,None,3.4674479166666665,0.17081060004420578,52.88681309996173,None,Sebastián,001,2020_Sep_05_1908,piloto1,2020.2.3,59.8533592680541,
400,0.02,imagenes\Alpinito.jpg,0,1,1,0,0,12,12,0,,,53.114679859962784,None,53.10657869995339,None,2.8359375,0.13586959999520332,53.10657869995339,None,Sebastián,001,2020_Sep_05_1908,piloto1,2020.2.3,59.8533592680541,
400,0.02,imagenes\Nutella (1).jpg,0,1,1,0,0,13,13,12,,,53.26412741999375,None,53.269335499964654,None,4.509114583333333,0.17173629999160767,53.269335499964654,None,Sebastián,001,2020_Sep_05_1908,piloto1,2020.2.3,59.8533592680541,
400,0.02,imagenes\Galletas-festival.jpg,0,1,1,0,0,14,14,7,,,53.48085363999708,None,53.47681919997558,None,3.5390625,0.14525579998735338,53.47681919997558,None,Sebastián,001,2020_Sep_05_1908,piloto1,2020.2.3,59.8533592680541,
400,0.02,imagenes\Croissant.jpg,0,1,1,0,0,15,15,5,,,53.6641469399794,None,53.66763889999129,None,2.731770833333333,0.10786609997740015,53.66763889999129,None,Sebastián,001,2020_Sep_05_1908,piloto1,2020.2.3,59.8533592680541,
400,0.02,imagenes\Yogurt-alpina.jpg,0,1,1,0,0,16,16,18,,,53.814258239977065,None,53.80883489997359,None,5.303385416666666,0.29762260004645213,53.80883489997359,None,Sebastián,001,2020_Sep_05_1908,piloto1,2020.2.3,59.8533592680541,
400,0.02,imagenes\Papas-naturales.jpg,0,1,1,0,0,17,17,13,,,54.13074831998674,None,54.13429819996236,None,5.7265625,0.17262759996810928,54.13429819996236,None,Sebastián,001,2020_Sep_05_1908,piloto1,2020.2.3,59.8533592680541,
400,0.02,imagenes\Leche-de-almendras.jpg,0,1,1,0,0,18,18,9,,,54.43133713996504,None,54.42840719997184,None,2.4453125,0.12829670001519844,54.42840719997184,None,Sebastián,001,2020_Sep_05_1908,piloto1,2020.2.3,59.8533592680541,
400,0.02,imagenes\Brownie.jpg,0,1,1,0,0,19,19,3,,,54.59772583998274,None,54.592978600005154,None,1.7552083333333335,0.16299909999361262,54.592978600005154,None,Sebastián,001,2020_Sep_05_1908,piloto1,2020.2.3,59.8533592680541,
400,0.02,,0,1,1,0,,,,,,,,,,,,,,,Sebastián,001,2020_Sep_05_1908,piloto1,2020.2.3,59.8533592680541,
1000,0.02,imagenes\Kiwi.jpg,0,2,2,2,0,0,0,8,,,54.780640020000284,None,54.78544269996928,None,2.97265625,0.22008759999880567,54.78544269996928,None,Sebastián,001,2020_Sep_05_1908,piloto1,2020.2.3,59.8533592680541,
1000,0.02,imagenes\Rosquitas (1).jpg,0,2,2,2,0,1,1,17,,,55.030618419952226,None,55.03500769997481,None,4.020833333333333,0.5703474000329152,55.03500769997481,None,Sebastián,001,2020_Sep_05_1908,piloto1,2020.2.3,59.8533592680541,
1000,0.02,imagenes\Mango.jpeg,0,2,2,2,0,2,2,10,,,55.6478738399921,None,55.64307859999826,None,3.0768229166666665,0.1652483000070788,55.64307859999826,None,Sebastián,001,2020_Sep_05_1908,piloto1,2020.2.3,59.8533592680541,
1000,0.02,imagenes\bon-bon-bun.jpg,0,2,2,2,0,3,3,2,,,55.86421966000926,None,55.86795299994992,None,3.0182291666666665,0.10738260002108291,55.86795299994992,None,Sebastián,001,2020_Sep_05_1908,piloto1,2020.2.3,59.8533592680541,
1000,0.02,imagenes\Papas-naturales.jpg,0,2,2,2,0,4,4,13,,,55.99739951997763,None,56.0030676999595,None,5.049479166666666,0.20393030002014711,56.0030676999595,None,Sebastián,001,2020_Sep_05_1908,piloto1,2020.2.3,59.8533592680541,
1000,0.02,imagenes\Alpinito.jpg,0,2,2,2,0,5,5,0,,,56.24760653997073,None,56.25306299998192,None,5.856770833333334,0.12259300000732765,56.25306299998192,None,Sebastián,001,2020_Sep_05_1908,piloto1,2020.2.3,59.8533592680541,
1000,0.02,imagenes\Manzana.jpg,0,2,2,2,0,6,6,11,,,56.41424393996131,None,56.42008029995486,None,2.6015625,0.2886923999758437,56.42008029995486,None,Sebastián,001,2020_Sep_05_1908,piloto1,2020.2.3,59.8533592680541,
1000,0.02,imagenes\Galletas Tosh.jpg,0,2,2,2,0,7,7,6,,,56.747860039980154,None,56.752327299967874,None,2.2434895833333335,0.13743170001544058,56.752327299967874,None,Sebastián,001,2020_Sep_05_1908,piloto1,2020.2.3,59.8533592680541,
1000,0.02,imagenes\Chocoramo.jfif.jpg,0,2,2,2,0,8,8,4,,,56.93071353998967,None,56.934632599994075,None,3.59765625,1.839756400033366,56.934632599994075,None,Sebastián,001,2020_Sep_05_1908,piloto1,2020.2.3,59.8533592680541,
