Hertz,volumen,Imagenes,Random,Correcto,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,intro.started,intro.stopped,Sonido.started,Sonido.stopped,image_2.started,image_2.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,text.started,text.stopped,text_4.started,text_4.stopped,image.started,image.stopped,texto_final.started,texto_final.stopped,participant,session,date,expName,psychopyVersion,frameRate,
400,0.02,imagenes/Pandebono.png,0.8988574378129985,None,0,0,0,0,0,16,16,26,,,243.47395306000544,None,244.45755479999934,None,3.2330729166666665,1.1508890999975847,244.45755479999934,None,,,,,,,,,,,,,t,001,2021_Jan_06_2145,piloto1,2020.2.5,59.988542186745825,
400,0.02,imagenes/Muffin de banano.png,0.9610615059009696,None,0,0,0,0,0,17,17,25,,,244.67405529000825,245.67391650000354,245.67391650000354,None,2.653645833333333,1.2127470999985235,245.67391650000354,None,,,,,,,,,,,,,t,001,2021_Jan_06_2145,piloto1,2020.2.5,59.988542186745825,
400,0.02,imagenes/Pepinillos.png,0.0038966441241518046,None,0,0,0,0,0,18,18,28,,,245.92392106000625,246.92441160000453,246.92441160000453,None,3.1614583333333335,1.187431700003799,246.92441160000453,None,,,,,,,,,,,,,t,001,2021_Jan_06_2145,piloto1,2020.2.5,59.988542186745825,
400,0.02,imagenes/Chocoramo.jfif.jpg,0.7425528559884101,None,0,0,0,0,0,19,19,4,,,247.15779635999934,248.1575090999977,248.1575090999977,None,3.578125,1.254268200005754,248.1575090999977,None,,,,,,,,,,,,,t,001,2021_Jan_06_2145,piloto1,2020.2.5,59.988542186745825,
400,0.02,imagenes/Brownie.jpg,0.2838924074864093,None,0,0,0,0,0,20,20,3,,,248.45710096000403,249.4573509000038,249.4573509000038,None,2.770833333333333,1.190768599990406,249.4573509000038,None,,,,,,,,,,,,,t,001,2021_Jan_06_2145,piloto1,2020.2.5,59.988542186745825,
400,0.02,imagenes/Papas-pollo.jpg,0.08373485417902837,None,0,0,0,0,0,21,21,15,,,249.6738397299996,None,250.673890200007,None,2.1393229166666665,1.1888009999966016,250.673890200007,None,,,,,,,,,,,,,t,001,2021_Jan_06_2145,piloto1,2020.2.5,59.988542186745825,
400,0.02,imagenes/Galletas-festival.jpg,0.11306074364032936,None,0,0,0,0,0,22,22,7,,,250.90739315999963,251.90715290000662,251.8903038999997,None,2.8815104166666665,1.2509666999976616,251.8903038999997,None,,,,,,,,,,,,,t,001,2021_Jan_06_2145,piloto1,2020.2.5,59.988542186745825,
400,0.02,imagenes/Croissant.jpg,0.5824748589948932,None,0,0,0,0,0,23,23,5,,,252.19094936001056,None,253.17373180000868,None,3.59765625,1.2781223999918438,253.17373180000868,None,,,,,,,,,,,,,t,001,2021_Jan_06_2145,piloto1,2020.2.5,59.988542186745825,
400,0.02,imagenes/bon-bon-bun.jpg,0.7417452724056987,None,0,0,0,0,0,24,24,2,,,253.50702626000566,254.50741500000004,254.4901414000051,None,2.71875,1.2991389999951934,254.4901414000051,None,,,,,,,,,,,,,t,001,2021_Jan_06_2145,piloto1,2020.2.5,59.988542186745825,
400,0.02,imagenes/Papas picantes.jpg,0.524978898672612,None,0,0,0,0,0,25,25,27,,,254.82396173000598,255.82349599999725,255.82349599999725,None,2.2434895833333335,1.3595639999984996,255.82349599999725,None,,,,,,,,,,,,,t,001,2021_Jan_06_2145,piloto1,2020.2.5,59.988542186745825,
