Hertz,volumen,Imagenes,Random,Correcto,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,sound_3.started,sound_3.stopped,Sonido.started,Sonido.stopped,image_2.started,image_2.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1500,0.02,imagenes/Brocoli.jpg,0.24293074945529525,None,0,0,0,1,0,0,0,21,11.90284139999976,None,22.086221999999907,23.19705419999991,23.19705419999991,None,2.705729166666667,2.742204799999854,23.19705419999991,None,h,001,2020_Dec_01_1241,piloto1,2020.2.5,60.036478164185155,
1500,0.02,imagenes/Galletas Tosh.jpg,0.9129693753280027,None,0,0,0,1,0,1,1,6,,,24.886400599999522,25.886649399999442,25.886649399999442,None,3.506510416666667,1.4218723999993017,25.886649399999442,None,h,001,2020_Dec_01_1241,piloto1,2020.2.5,60.036478164185155,
1500,0.02,imagenes/Papas picantes.jpg,0.524978898672612,None,0,0,0,1,0,2,2,27,,,26.352929999999468,27.353291399999762,27.336378299999524,None,1.5729166666666665,1.4846698999999717,27.336378299999524,None,h,001,2020_Dec_01_1241,piloto1,2020.2.5,60.036478164185155,
1500,0.02,imagenes/Papas-naturales.jpg,0.37590629905521566,None,0,0,0,1,0,3,3,13,,,27.86950629999992,None,28.869687399999748,None,2.73828125,1.3765783999997439,28.869687399999748,None,h,001,2020_Dec_01_1241,piloto1,2020.2.5,60.036478164185155,
1500,0.02,imagenes/Chocoramo.jfif.jpg,0.7425528559884101,None,0,0,0,1,0,4,4,4,,,29.303127299999776,30.302821700000095,30.302821700000095,None,3.40234375,1.3703604000002088,30.302821700000095,None,h,001,2020_Dec_01_1241,piloto1,2020.2.5,60.036478164185155,
1500,0.02,imagenes/bon-bon-bun.jpg,0.7417452724056987,None,0,0,0,1,0,5,5,2,,,30.71917389999944,31.719743599999674,31.719743599999674,None,4.548177083333333,1.374786999999742,31.719743599999674,None,h,001,2020_Dec_01_1241,piloto1,2020.2.5,60.036478164185155,
1500,0.02,imagenes/Muffin de banano.png,0.9610615059009696,None,0,0,0,1,0,6,6,25,,,32.16945620000006,33.16949729999942,33.16949729999942,None,5.6484375,1.3395690999996077,33.16949729999942,None,h,001,2020_Dec_01_1241,piloto1,2020.2.5,60.036478164185155,
1500,0.02,imagenes/Brownie.jpg,0.2838924074864093,None,0,0,0,1,0,7,7,3,,,33.58592969999955,None,34.5692054000001,None,4.41796875,1.748723799999425,34.5692054000001,None,h,001,2020_Dec_01_1241,piloto1,2020.2.5,60.036478164185155,
1500,0.02,imagenes/Galletas-festival.jpg,0.11306074364032936,None,0,0,0,1,0,8,8,7,,,35.36914959999959,36.36932949999937,36.36932949999937,None,3.604166666666667,1.8208519999998316,36.36932949999937,None,h,001,2020_Dec_01_1241,piloto1,2020.2.5,60.036478164185155,
1500,0.02,imagenes/Kiwi.jpg,0.3929145850942286,None,0,0,0,1,0,9,9,8,,,37.21896259999967,38.219539699999586,38.20259159999932,None,4.294270833333333,1.3616990000000442,38.20259159999932,None,h,001,2020_Dec_01_1241,piloto1,2020.2.5,60.036478164185155,
