Hertz,volumen,Imagenes,Random,Correcto,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Sonido.started,Sonido.stopped,image_2.started,image_2.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1500,0.02,imagenes\bon-bon-bun.jpg,0.7387922093313524,None,0,0,0,1,0,0,0,2,10.794056399841793,None,12.860561300010886,None,3.3893229166666665,3.0784114999696612,12.860561300010886,None,1,001,2020_Oct_06_1213,piloto1,2020.2.3,60.06842995899519,
1500,0.02,imagenes\Nutella (1).jpg,0.5277483225747329,None,0,0,0,1,0,1,1,12,13.911261099972762,15.911410500004422,15.895135600003414,None,3.526041666666667,2.3971566000254825,15.895135600003414,None,1,001,2020_Oct_06_1213,piloto1,2020.2.3,60.06842995899519,
1500,0.02,imagenes\Mango.jpeg,0.555669112372461,None,0,0,0,1,0,2,2,10,16.361412750004092,None,18.337421900010668,None,3.526041666666667,2.553443899960257,18.337421900010668,None,1,001,2020_Oct_06_1213,piloto1,2020.2.3,60.06842995899519,
1500,0.02,imagenes\Papas-naturales.jpg,0.15856838916280946,None,0,0,0,1,0,3,3,13,18.946070899954066,20.94707329996163,20.932569700002205,None,3.526041666666667,2.99972619995242,20.932569700002205,None,1,001,2020_Oct_06_1213,piloto1,2020.2.3,60.06842995899519,
1500,0.02,imagenes\Yogurt-alpina.jpg,0.21540995091807813,None,0,0,0,1,0,4,4,18,21.97963499999605,None,23.961424799985252,None,3.4739583333333335,2.715045800025109,23.961424799985252,None,1,001,2020_Oct_06_1213,piloto1,2020.2.3,60.06842995899519,
1500,0.02,imagenes\Brownie.jpg,0.17000143351927688,None,0,0,0,1,0,5,5,3,24.744478149950737,None,26.738386199984234,None,3.552083333333333,4.278952199965715,26.738386199984234,None,1,001,2020_Oct_06_1213,piloto1,2020.2.3,60.06842995899519,
1500,0.02,imagenes\Popetas.jpg,0.07650200324054446,None,0,0,0,1,0,6,6,16,29.08605899999384,None,31.061525299970526,None,3.532552083333333,2.410881799994968,31.061525299970526,None,1,001,2020_Oct_06_1213,piloto1,2020.2.3,60.06842995899519,
1500,0.02,imagenes\Galletas Tosh.jpg,0.478088790487872,None,0,0,0,1,0,7,7,6,31.544155049981782,33.544685899978504,33.544685899978504,None,3.552083333333333,3.0893072999897413,33.544685899978504,None,1,001,2020_Oct_06_1213,piloto1,2020.2.3,60.06842995899519,
1500,0.02,imagenes\Chocoramo.jfif.jpg,0.7789437122019539,None,0,0,0,1,0,8,8,4,34.67746169999009,36.67750160000287,36.67750160000287,None,3.643229166666667,2.420576699951198,36.67750160000287,None,1,001,2020_Oct_06_1213,piloto1,2020.2.3,60.06842995899519,
1500,0.02,imagenes\Banano.jpeg,0.651633055306917,None,0,0,0,1,0,9,9,1,37.143965399998706,39.144138199975714,39.127138899988495,None,4.28125,2.533254100009799,39.127138899988495,None,1,001,2020_Oct_06_1213,piloto1,2020.2.3,60.06842995899519,
1500,0.02,imagenes\Papas-pollo.jpg,0.6683114062971784,None,0,0,0,1,0,10,10,15,39.71002579998458,None,41.67708749999292,None,3.3177083333333335,2.6032000000122935,41.67708749999292,None,1,001,2020_Oct_06_1213,piloto1,2020.2.3,60.06842995899519,
1500,0.02,imagenes\Kiwi.jpg,0.5893907384852061,None,0,0,0,1,0,11,11,8,42.32672074998845,44.32678649999434,44.32678649999434,None,3.40234375,2.177780999976676,44.32678649999434,None,1,001,2020_Oct_06_1213,piloto1,2020.2.3,60.06842995899519,
1500,0.02,imagenes\Uvas.jpg,0.7734382152670648,None,0,0,0,1,0,12,12,19,44.54347350000171,None,46.52688019996276,None,2.58203125,2.818922299949918,46.52688019996276,None,1,001,2020_Oct_06_1213,piloto1,2020.2.3,60.06842995899519,
1500,0.02,imagenes\Leche-de-almendras.jpg,0.36073876480313727,None,0,0,0,1,0,13,13,9,47.459737199998926,None,49.44418549997499,None,3.36328125,3.617514999990817,49.44418549997499,None,1,001,2020_Oct_06_1213,piloto1,2020.2.3,60.06842995899519,
1500,0.02,imagenes\Rosquitas (1).jpg,0.3035383390851263,None,0,0,0,1,0,14,14,17,51.126488949958,53.12682109995512,53.11020200001076,None,3.3958333333333335,4.344715700019151,53.11020200001076,None,1,001,2020_Oct_06_1213,piloto1,2020.2.3,60.06842995899519,
