Hertz,volumen,Imagenes,Random,Correcto,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Sonido.started,Sonido.stopped,image_2.started,image_2.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1500,0.02,imagenes\Rosquitas (1).jpg,0.3035383390851263,None,0,0,0,1,0,0,0,17,8.368887780039223,None,8.400599199987482,None,None,None,8.400599199987482,None,t,001,2020_Oct_06_0922,piloto1,2020.2.3,59.91313792685489,
1500,0.02,imagenes\Popetas.jpg,0.07650200324054446,None,0,0,0,1,0,1,1,16,9.369412219987135,None,9.37211739999475,None,None,None,9.37211739999475,None,t,001,2020_Oct_06_0922,piloto1,2020.2.3,59.91313792685489,
1500,0.02,imagenes\Galletas Tosh.jpg,0.478088790487872,None,0,0,0,1,0,2,2,6,10.353089079982603,None,10.35904379998101,None,3.506510416666667,0.6863740999833681,10.35904379998101,None,t,001,2020_Oct_06_0922,piloto1,2020.2.3,59.91313792685489,
1500,0.02,imagenes\Mango.jpeg,0.555669112372461,None,0,0,0,1,0,3,3,10,11.086264979990666,None,11.079435099993134,None,3.506510416666667,0.13162780000129715,11.079435099993134,None,t,001,2020_Oct_06_0922,piloto1,2020.2.3,59.91313792685489,
1500,0.02,imagenes\Banano.jpeg,0.651633055306917,None,0,0,0,1,0,4,4,1,11.253120679984569,None,11.243082500004675,None,3.513020833333333,0.20175849998486228,11.243082500004675,None,t,001,2020_Oct_06_0922,piloto1,2020.2.3,59.91313792685489,
1500,0.02,imagenes\Yogurt-alpina.jpg,0.21540995091807813,None,0,0,0,1,0,5,5,18,11.486065380007496,11.486264099978143,11.477516899991315,None,3.513020833333333,0.16748889998416416,11.477516899991315,None,t,001,2020_Oct_06_0922,piloto1,2020.2.3,59.91313792685489,
1500,0.02,imagenes\Uvas.jpg,0.7734382152670648,None,0,0,0,1,0,6,6,19,11.686371479992523,None,11.677983999979915,None,3.513020833333333,0.3169888999836985,11.677983999979915,None,t,001,2020_Oct_06_0922,piloto1,2020.2.3,59.91313792685489,
1500,0.02,imagenes\Brownie.jpg,0.17000143351927688,None,0,0,0,1,0,7,7,3,12.052877820000868,12.059946099994704,12.054221800004598,None,3.513020833333333,0.10851050002384,12.054221800004598,None,t,001,2020_Oct_06_0922,piloto1,2020.2.3,59.91313792685489,
1500,0.02,imagenes\Papas-naturales.jpg,0.15856838916280946,None,0,0,0,1,0,8,8,13,12.186153939980432,None,12.189689699996961,None,3.513020833333333,0.12159920000704005,12.189689699996961,None,t,001,2020_Oct_06_0922,piloto1,2020.2.3,59.91313792685489,
1500,0.02,imagenes\Chocoramo.jfif.jpg,0.7789437122019539,None,0,0,0,1,0,9,9,4,12.369321719996515,None,12.362792400002945,None,3.513020833333333,0.1159285000176169,12.362792400002945,None,t,001,2020_Oct_06_0922,piloto1,2020.2.3,59.91313792685489,
1500,0.02,imagenes\Manzana.jpg,0.5168162194437935,None,0,0,0,1,0,10,10,11,12.536672020002152,12.540979099983815,12.535658399981912,None,3.513020833333333,0.1085148999991361,12.535658399981912,None,t,001,2020_Oct_06_0922,piloto1,2020.2.3,59.91313792685489,
