Hertz,volumen,Imagenes,Random,Correcto,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Sonido.started,Sonido.stopped,image_2.started,image_2.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
400,0.02,imagenes\Papas-limon.jpg,0.020692288100133793,None,0,0,0,0,0,0,0,14,28.05697499997332,None,28.130000100005418,None,None,None,28.130000100005418,None,q,001,2020_Oct_06_1110,piloto1,2020.2.3,60.00794505653627,
400,0.02,imagenes\Rosquitas (1).jpg,0.3035383390851263,None,0,0,0,0,0,1,1,17,28.955649399990218,None,28.953789399995003,None,None,None,28.953789399995003,None,q,001,2020_Oct_06_1110,piloto1,2020.2.3,60.00794505653627,
400,0.02,imagenes\Papas-pollo.jpg,0.6683114062971784,None,0,0,0,0,0,2,2,15,29.939038900000742,None,29.939931600005366,None,None,None,29.939931600005366,None,q,001,2020_Oct_06_1110,piloto1,2020.2.3,60.00794505653627,
400,0.02,imagenes\Mango.jpeg,0.555669112372461,None,0,0,0,0,0,3,3,10,30.97208760000649,None,30.970480299991323,None,3.4869791666666665,0.4126922999857925,30.970480299991323,None,q,001,2020_Oct_06_1110,piloto1,2020.2.3,60.00794505653627,
400,0.02,imagenes\Uvas.jpg,0.7734382152670648,None,0,0,0,0,0,4,4,19,31.472229699982563,31.491562999988673,31.48038429999724,None,3.4869791666666665,0.12243200000375509,31.48038429999724,None,q,001,2020_Oct_06_1110,piloto1,2020.2.3,60.00794505653627,
400,0.02,imagenes\Brownie.jpg,0.17000143351927688,None,0,0,0,0,0,5,5,3,31.689107499987585,None,31.69474010000704,None,3.4869791666666665,0.08807129997876473,31.69474010000704,None,q,001,2020_Oct_06_1110,piloto1,2020.2.3,60.00794505653627,
400,0.02,imagenes\Yogurt-alpina.jpg,0.21540995091807813,None,0,0,0,0,0,6,6,18,31.8387866999954,None,31.846898399991915,None,3.4869791666666665,0.2733062999905087,31.846898399991915,None,q,001,2020_Oct_06_1110,piloto1,2020.2.3,60.00794505653627,
400,0.02,imagenes\Manzana.jpg,0.5168162194437935,None,0,0,0,0,0,7,7,11,32.205489999993006,32.21219479999854,32.20643150000251,None,3.4869791666666665,0.1936236000037752,32.20643150000251,None,q,001,2020_Oct_06_1110,piloto1,2020.2.3,60.00794505653627,
400,0.02,imagenes\Kiwi.jpg,0.5893907384852061,None,0,0,0,0,0,8,8,8,32.45527489999659,None,32.459632699989015,None,3.4869791666666665,0.14680879999650642,32.459632699989015,None,q,001,2020_Oct_06_1110,piloto1,2020.2.3,60.00794505653627,
400,0.02,imagenes\Galletas-festival.jpg,0.36121121246191135,None,0,0,0,0,0,9,9,7,32.70563089998323,32.708196799998404,32.70040549998521,None,3.4869791666666665,0.10130100001697429,32.70040549998521,None,q,001,2020_Oct_06_1110,piloto1,2020.2.3,60.00794505653627,
400,0.02,imagenes\bon-bon-bun.jpg,0.7387922093313524,None,0,0,0,0,0,10,10,2,32.90538790000719,None,32.90337300000829,None,3.4869791666666665,0.07951329997740686,32.90337300000829,None,q,001,2020_Oct_06_1110,piloto1,2020.2.3,60.00794505653627,
400,0.02,imagenes\Popetas.jpg,0.07650200324054446,None,0,0,0,0,0,11,11,16,33.105649699998324,None,33.100439800007734,None,3.4869791666666665,0.024739199987379834,33.100439800007734,None,q,001,2020_Oct_06_1110,piloto1,2020.2.3,60.00794505653627,
400,0.02,imagenes\Alpinito.jpg,0.4515332417045813,None,0,0,0,0,0,12,12,0,33.208385399979306,33.21829849999631,33.21072010000353,None,3.4869791666666665,0.07394140001269989,33.21072010000353,None,q,001,2020_Oct_06_1110,piloto1,2020.2.3,60.00794505653627,
400,0.02,imagenes\Galletas Tosh.jpg,0.478088790487872,None,0,0,0,0,0,13,13,6,33.40552499999758,33.41864779999014,33.410204899992095,None,3.4869791666666665,0.042272499995306134,33.410204899992095,None,q,001,2020_Oct_06_1110,piloto1,2020.2.3,60.00794505653627,
400,0.02,imagenes\Banano.jpeg,0.651633055306917,None,0,0,0,0,0,14,14,1,33.48862459998345,None,33.493350700009614,None,3.4869791666666665,0.15995810000458732,33.493350700009614,None,q,001,2020_Oct_06_1110,piloto1,2020.2.3,60.00794505653627,
400,0.02,imagenes\Papas-naturales.jpg,0.15856838916280946,None,0,0,0,0,0,15,15,13,33.72180020000669,None,33.71767389998422,None,3.4869791666666665,0.08627509998041205,33.71767389998422,None,q,001,2020_Oct_06_1110,piloto1,2020.2.3,60.00794505653627,
