Hertz,volumen,Imagenes,Random,Correcto,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,sound_3.started,sound_3.stopped,Sonido.started,Sonido.stopped,image_2.started,image_2.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,text.started,text.stopped,text_4.started,text_4.stopped,image.started,image.stopped,imagen,texto_final.started,texto_final.stopped,Pago,participant,session,date,expName,psychopyVersion,frameRate,
1500,0.02,imagenes/Papas-pollo.jpg,0.08373485417902837,None,0,0,0,1,0,16,16,15,,,91.0637401499931,92.0636150999926,92.0636150999926,None,3.643229166666667,1.3579040999757126,92.0636150999926,None,,,,,,,,,,,,,,,q,001,2020_Nov_17_1331,piloto1,2020.2.5,60.00787303700493,
1500,0.02,imagenes/Rollo de queso.png,0.9201641182756888,None,0,0,0,1,0,17,17,33,,,92.46356130000203,None,93.4634059999953,None,3.12890625,1.3900329000025522,93.4634059999953,None,,,,,,,,,,,,,,,q,001,2020_Nov_17_1331,piloto1,2020.2.5,60.00787303700493,
1500,0.02,imagenes/Rollos de canela.png,0.2610974409574519,None,0,0,0,1,0,18,18,34,,,93.8968576000072,94.89703749999171,94.8802224000101,None,3.83203125,1.417848299985053,94.8802224000101,None,,,,,,,,,,,,,,,q,001,2020_Nov_17_1331,piloto1,2020.2.5,60.00787303700493,
1500,0.02,imagenes/Yogurt-alpina.jpg,0.5445152936222175,None,0,0,0,1,0,19,19,18,,,95.34678559999446,None,96.31340780001483,None,4.294270833333333,1.2534994999878109,96.31340780001483,None,,,,,,,,,,,,,,,q,001,2020_Nov_17_1331,piloto1,2020.2.5,60.00787303700493,
1500,0.02,imagenes/Chocoramo.jfif.jpg,0.7425528559884101,None,0,0,0,1,0,20,20,4,,,96.63022099998778,97.63017740001669,97.63017740001669,None,3.565104166666667,1.3560843000013847,97.63017740001669,None,,,,,,,,,,,,,,,q,001,2020_Nov_17_1331,piloto1,2020.2.5,60.00787303700493,
1500,0.02,imagenes/Canelazo.png,0.6730479360767814,None,0,0,0,1,0,21,21,22,,,98.06345249998266,None,99.04659079998964,None,3.16796875,1.3497405000089202,99.04659079998964,None,,,,,,,,,,,,,,,q,001,2020_Nov_17_1331,piloto1,2020.2.5,60.00787303700493,
1500,0.02,imagenes/Almojabanas.png,0.6725051200713246,None,0,0,0,1,0,22,22,20,,,99.46298084998561,100.46323009999469,100.46323009999469,None,3.578125,1.377835099992808,100.46323009999469,None,,,,,,,,,,,,,,,q,001,2020_Nov_17_1331,piloto1,2020.2.5,60.00787303700493,
1500,0.02,imagenes/Chontaduro.png,0.8693553300418813,None,0,0,0,1,0,23,23,23,,,100.87951529999845,None,101.84691290001501,None,2.497395833333333,1.6360386000014842,101.84691290001501,None,,,,,,,,,,,,,,,q,001,2020_Nov_17_1331,piloto1,2020.2.5,60.00787303700493,
1500,0.02,imagenes/Brownie.jpg,0.2838924074864093,None,0,0,0,1,0,24,24,3,,,102.56285474999167,None,103.54631659999723,None,3.858072916666667,1.4130488999944646,103.54631659999723,None,,,,,,,,,,,,,,,q,001,2020_Nov_17_1331,piloto1,2020.2.5,60.00787303700493,
1500,0.02,imagenes/Nutella (1).jpg,0.8826531883338111,None,0,0,0,1,0,25,25,12,,,103.99622594999673,104.99620389999473,104.99620389999473,None,4.606770833333333,1.7430940000049304,104.99620389999473,None,,,,,,,,,,,,,,,q,001,2020_Nov_17_1331,piloto1,2020.2.5,60.00787303700493,
1500,0.02,imagenes/salchicha hojaldrada.jpg,0.7119773165481526,None,0,0,0,1,0,26,26,35,,,105.76304604998731,106.76287070001126,106.74611320000258,None,3.3828125,1.3105038000212517,106.74611320000258,None,,,,,,,,,,,,,,,q,001,2020_Nov_17_1331,piloto1,2020.2.5,60.00787303700493,
1500,0.02,imagenes/pistachos.jpg,0.7450869742741464,None,0,0,0,1,0,27,27,30,,,107.09620335000508,None,108.07949949998874,None,3.63671875,1.5454585999832489,108.07949949998874,None,,,,,,,,,,,,,,,q,001,2020_Nov_17_1331,piloto1,2020.2.5,60.00787303700493,
1500,0.02,imagenes/Leche-de-almendras.jpg,0.3886559457994673,None,0,0,0,1,0,28,28,9,,,108.72925215000578,None,109.72953569999663,None,3.63671875,1.389690400013933,109.72953569999663,None,,,,,,,,,,,,,,,q,001,2020_Nov_17_1331,piloto1,2020.2.5,60.00787303700493,
1500,0.02,imagenes/Muffin de banano.png,0.9610615059009696,None,0,0,0,1,0,29,29,25,,,110.17937384999532,None,111.16489770001499,None,3.526041666666667,1.3610710999928415,111.16489770001499,None,,,,,,,,,,,,,,,q,001,2020_Nov_17_1331,piloto1,2020.2.5,60.00787303700493,
1500,0.02,imagenes/Brocoli.jpg,0.24293074945529525,None,0,0,0,1,0,30,30,21,,,111.56265655000752,None,112.56269200000679,None,3.4283854166666665,1.7914584999962244,112.56269200000679,None,,,,,,,,,,,,,,,q,001,2020_Nov_17_1331,piloto1,2020.2.5,60.00787303700493,
1500,0.02,imagenes/Mango.jpeg,0.4341155418941499,None,0,0,0,1,0,31,31,10,,,113.3958169999998,114.39595880001434,114.3791818000027,None,4.80859375,2.9645808000059333,114.3791818000027,None,,,,,,,,,,,,,,,q,001,2020_Nov_17_1331,piloto1,2020.2.5,60.00787303700493,
1500,0.02,imagenes/Manzana.jpg,0.4048420327008191,None,0,0,0,1,0,32,32,11,,,116.39546449999324,None,117.3790483000048,116.3923357000167,4.287760416666667,1.3768847000028472,117.3790483000048,116.3923357000167,,,,,,,,,,,,,,,q,001,2020_Nov_17_1331,piloto1,2020.2.5,60.00787303700493,
1500,0.02,imagenes/Popetas.jpg,0.9621625733302204,None,0,0,0,1,0,33,33,16,,,117.82980294999724,118.8291021999903,118.8291021999903,None,3.48046875,1.1770909000188112,118.8291021999903,None,,,,,,,,,,,,,,,q,001,2020_Nov_17_1331,piloto1,2020.2.5,60.00787303700493,
1500,0.02,imagenes/Galletas Tosh.jpg,0.9129693753280027,None,0,0,0,1,0,34,34,6,,,119.04534569998503,120.04560050001601,120.04560050001601,None,3.740885416666667,1.6204027000057977,120.04560050001601,None,,,,,,,,,,,,,,,q,001,2020_Nov_17_1331,piloto1,2020.2.5,60.00787303700493,
1500,0.02,imagenes/Pizzetas.png,0.3295951589873042,None,0,0,0,1,0,35,35,32,,,120.71210819999686,None,121.69560989999445,None,4.268229166666667,2.563610700017307,121.69560989999445,None,,,,,,,,,,,,,,,q,001,2020_Nov_17_1331,piloto1,2020.2.5,60.00787303700493,
1500,0.02,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,001,2020_Nov_17_1331,piloto1,2020.2.5,60.00787303700493,
1000,0.02,imagenes/Galletas-festival.jpg,0.11306074364032936,None,0,1,1,2,0,0,0,7,,,123.32863015000184,None,124.31207680000807,None,4.606770833333333,1.4158572000160348,124.31207680000807,None,,,,,,,,,,,,,,,q,001,2020_Nov_17_1331,piloto1,2020.2.5,60.00787303700493,
1000,0.02,imagenes/Popetas.jpg,0.9621625733302204,None,0,1,1,2,0,1,1,16,,,124.79564054999791,125.79529810001259,125.79529810001259,None,3.604166666666667,1.4763190999801736,125.79529810001259,None,,,,,,,,,,,,,,,q,001,2020_Nov_17_1331,piloto1,2020.2.5,60.00787303700493,
