Hertz,volumen,Imagenes,Random,Correcto,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,mensaje_intro.started,mensaje_intro.stopped,mensaje_intro_2.started,mensaje_intro_2.stopped,textbox_prueba.started,textbox_prueba.stopped,sonido_prueba.started,sonido_prueba.stopped,image_prueba.started,image_prueba.stopped,slider_prueba.response,slider_prueba.rt,slider_prueba.started,slider_prueba.stopped,sonido_prueba_2.started,sonido_prueba_2.stopped,image_prueba_2.started,image_prueba_2.stopped,slider_prueba_2.response,slider_prueba_2.rt,slider_prueba_2.started,slider_prueba_2.stopped,textbox_prueba_2.started,textbox_prueba_2.stopped,sonido_exp.started,sonido_exp.stopped,image_exp.started,image_exp.stopped,slider_exp.response,slider_exp.rt,slider_exp.started,slider_exp.stopped,text_subasta1.started,text_subasta1.stopped,text_subasta2.started,text_subasta2.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1500,0.02,imagenes/Papas picantes.jpg,0.524978898672612,None,0,0,0,1,0,0,0,27,11.472042999987025,None,14.854352700000163,None,20.832482199999504,None,22.89935516998521,None,23.9298967999639,None,1.5924479166666665,1.9136002999730408,23.9298967999639,None,24.832532169955083,None,25.828907899965998,None,3.643229166666667,1.3329853999894112,25.828907899965998,None,26.182289199961815,None,28.68453050997923,29.684481200005393,29.684481200005393,None,3.48046875,1.5437592000234872,29.684481200005393,None,,,,,,,y,001,2021_Jan_08_2331,piloto1,2020.2.5,60.01529189404076,
1500,0.02,imagenes/Nutella (1).jpg,0.8826531883338111,None,0,0,0,1,0,1,1,12,,,,,,,,,,,,,,,,,,,,,,,,,30.25150827000034,None,31.248766899982,None,3.91015625,1.4911184000084177,31.248766899982,None,,,,,,,y,001,2021_Jan_08_2331,piloto1,2020.2.5,60.01529189404076,
1500,0.02,imagenes/Pizza.png,0.21192443516553439,None,0,0,0,1,0,2,2,31,,,,,,,,,,,,,,,,,,,,,,,,,31.782093239983077,None,32.76548439997714,None,4.294270833333333,1.382123599993065,32.76548439997714,None,,,,,,,y,001,2021_Jan_08_2331,piloto1,2020.2.5,60.01529189404076,
1500,0.02,imagenes/Leche-de-almendras.jpg,0.3886559457994673,None,0,0,0,1,0,3,3,9,,,,,,,,,,,,,,,,,,,,,,,,,33.26540222000331,None,34.23214109998662,None,3.3828125,1.1190612000063993,34.23214109998662,None,,,,,,,y,001,2021_Jan_08_2331,piloto1,2020.2.5,60.01529189404076,
1500,0.02,imagenes/Pizzetas.png,0.3295951589873042,None,0,0,0,1,0,4,4,32,,,,,,,,,,,,,,,,,,,,,,,,,34.41557653996861,35.415652099996805,35.39875549997669,None,2.85546875,1.4621726000332274,35.39875549997669,None,,,,,,,y,001,2021_Jan_08_2331,piloto1,2020.2.5,60.01529189404076,
1500,0.02,imagenes/Yogurt-alpina.jpg,0.5445152936222175,None,0,0,0,1,0,5,5,18,,,,,,,,,,,,,,,,,,,,,,,,,35.91560563995736,None,36.89857479999773,None,1.9309895833333335,1.7516473000287078,36.89857479999773,None,,,,,,,y,001,2021_Jan_08_2331,piloto1,2020.2.5,60.01529189404076,
1500,0.02,imagenes/salchicha hojaldrada.jpg,0.7119773165481526,None,0,0,0,1,0,6,6,35,,,,,,,,,,,,,,,,,,,,,,,,,37.6818879699742,None,38.66527689999202,None,1.0911458333333335,1.1961585999815725,38.66527689999202,None,,,,,,,y,001,2021_Jan_08_2331,piloto1,2020.2.5,60.01529189404076,
1500,0.02,imagenes/Papas-pollo.jpg,0.08373485417902837,None,0,0,0,1,0,7,7,15,,,,,,,,,,,,,,,,,,,,,,,,,38.898541569960074,None,39.89870239997981,None,1,1.2250579999526963,39.89870239997981,None,,,,,,,y,001,2021_Jan_08_2331,piloto1,2020.2.5,60.01529189404076,
1500,0.02,imagenes/Croissant.jpg,0.5824748589948932,None,0,0,0,1,0,8,8,5,,,,,,,,,,,,,,,,,,,,,,,,,40.16520763995359,None,41.14862719998928,None,1,1.1666833000490442,41.14862719998928,None,,,,,,,y,001,2021_Jan_08_2331,piloto1,2020.2.5,60.01529189404076,
1500,0.02,imagenes/bon-bon-bun.jpg,0.7417452724056987,None,0,0,0,1,0,9,9,2,,,,,,,,,,,,,,,,,,,,,,,,,41.3650654399884,42.365120099973865,42.348385499964934,None,1,1.1281651000026613,42.348385499964934,None,,,,,,,y,001,2021_Jan_08_2331,piloto1,2020.2.5,60.01529189404076,
