Hertz,volumen,Imagenes,Random,Correcto,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,sound_3.started,sound_3.stopped,Sonido.started,Sonido.stopped,image_2.started,image_2.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1000,0.0,imagenes/bon-bon-bun.jpg,0.7417452724056987,None,0,0,0,3,0,0,0,2,9.18124062003335,None,19.314165120071266,None,20.312800600077026,None,2.4453125,2.450971500016749,20.312800600077026,None,h,001,2020_Oct_27_1222,piloto1,2020.2.3,59.89523124469085,
1000,0.0,imagenes/Papas-limon.jpg,0.5280798509093595,None,0,0,0,3,0,1,1,14,,,21.79741322004702,22.797489700024016,22.781291800085455,None,3.506510416666667,1.6798283000243828,22.781291800085455,None,h,001,2020_Oct_27_1222,piloto1,2020.2.3,59.89523124469085,
1000,0.0,imagenes/Uvas.jpg,0.4959291644143431,None,0,0,0,3,0,2,2,19,,,23.514419020037167,None,24.497653900063597,None,3.506510416666667,1.5692874999949709,24.497653900063597,None,h,001,2020_Oct_27_1222,piloto1,2020.2.3,59.89523124469085,
