Hertz,volumen,Imagenes,Random,Correcto,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,sound_3.started,sound_3.stopped,Sonido.started,Sonido.stopped,image_2.started,image_2.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,text.started,text.stopped,text_4.started,text_4.stopped,image.started,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
400,0.02,imagenes/Brocoli.jpg,0.24293074945529525,None,0,0,0,0,0,0,0,21,9.966482930016355,None,20.150189599997248,None,21.201837200002046,None,3.766927083333333,2.2682191000058083,21.201837200002046,None,,,,,,,,,,,r,001,2020_Dec_15_1355,piloto1,2020.2.5,59.82006125576172,
400,0.02,imagenes/Yogurt-alpina.jpg,0.5445152936222175,None,0,0,0,0,0,1,1,18,,,22.466882690001512,23.467072400002507,23.467072400002507,None,3.610677083333333,1.4438683999906061,23.467072400002507,None,,,,,,,,,,,r,001,2020_Dec_15_1355,piloto1,2020.2.5,59.82006125576172,
400,0.02,imagenes/Papas-limon.jpg,0.5280798509093595,None,0,0,0,0,0,2,2,14,,,23.96696198999416,None,24.950422800000524,None,3.604166666666667,1.5152967999893008,24.950422800000524,None,,,,,,,,,,,r,001,2020_Dec_15_1355,piloto1,2020.2.5,59.82006125576172,
400,0.02,imagenes/Chontaduro.png,0.8693553300418813,None,0,0,0,0,0,3,3,23,,,25.533543589990586,26.533649699995294,26.533649699995294,None,3.604166666666667,1.1268447999900673,26.533649699995294,None,,,,,,,,,,,r,001,2020_Dec_15_1355,piloto1,2020.2.5,59.82006125576172,
400,0.02,imagenes/Papas picantes.jpg,0.524978898672612,None,0,0,0,0,0,4,4,27,,,26.683454729994992,27.68400739999197,27.68400739999197,None,3.604166666666667,1.1229999999923166,27.68400739999197,None,,,,,,,,,,,r,001,2020_Dec_15_1355,piloto1,2020.2.5,59.82006125576172,
400,0.02,imagenes/Leche-de-almendras.jpg,0.3886559457994673,None,0,0,0,0,0,5,5,9,,,27.966493069994613,None,28.950020599993877,None,3.591145833333333,1.254293999998481,28.950020599993877,None,,,,,,,,,,,r,001,2020_Dec_15_1355,piloto1,2020.2.5,59.82006125576172,
400,0.02,imagenes/Rollo de queso.png,0.9201641182756888,None,0,0,0,0,0,6,6,33,,,29.299761849993956,30.29975019999256,30.29975019999256,None,3.591145833333333,1.1462013999989722,30.29975019999256,None,,,,,,,,,,,r,001,2020_Dec_15_1355,piloto1,2020.2.5,59.82006125576172,
400,0.02,imagenes/Rollos de canela.png,0.2610974409574519,None,0,0,0,0,0,7,7,34,,,30.516502619997482,None,31.483889900002396,None,3.591145833333333,1.38646300000255,31.483889900002396,None,,,,,,,,,,,r,001,2020_Dec_15_1355,piloto1,2020.2.5,59.82006125576172,
400,0.02,imagenes/Galletas-festival.jpg,0.11306074364032936,None,0,0,0,0,0,8,8,7,,,31.949831890000496,None,32.91785399999935,None,3.552083333333333,1.2056338999973377,32.91785399999935,None,,,,,,,,,,,r,001,2020_Dec_15_1355,piloto1,2020.2.5,59.82006125576172,
400,0.02,imagenes/pistachos.jpg,0.7450869742741464,None,0,0,0,0,0,9,9,30,,,33.166728529991815,None,34.166584599995986,None,3.552083333333333,1.4923511999950279,34.166584599995986,None,,,,,,,,,,,r,001,2020_Dec_15_1355,piloto1,2020.2.5,59.82006125576172,
400,0.02,imagenes/Papas-naturales.jpg,0.37590629905521566,None,0,0,0,0,0,10,10,13,,,34.69969495999976,35.69997780000267,35.69997780000267,None,None,None,35.69997780000267,None,,,,,,,,,,,r,001,2020_Dec_15_1355,piloto1,2020.2.5,59.82006125576172,
400,0.02,imagenes/Banano.jpeg,0.2267656716538785,None,0,0,0,0,0,11,11,1,,,37.73294278999674,38.73305349999282,38.716271700002835,37.72457700000086,3.552083333333333,2.668472199991811,38.716271700002835,37.72457700000086,,,,,,,,,,,r,001,2020_Dec_15_1355,piloto1,2020.2.5,59.82006125576172,
400,0.02,imagenes/Popetas.jpg,0.9621625733302204,None,0,0,0,0,0,12,12,16,,,40.482757349993335,None,41.4660986999952,None,3.552083333333333,1.1143625999975484,41.4660986999952,None,,,,,,,,,,,r,001,2020_Dec_15_1355,piloto1,2020.2.5,59.82006125576172,
400,0.02,imagenes/Brownie.jpg,0.2838924074864093,None,0,0,0,0,0,13,13,3,,,41.68291904999933,None,42.683249399997294,None,3.552083333333333,1.3902416999917477,42.683249399997294,None,,,,,,,,,,,r,001,2020_Dec_15_1355,piloto1,2020.2.5,59.82006125576172,
400,0.02,imagenes/Uvas.jpg,0.4959291644143431,None,0,0,0,0,0,14,14,19,,,43.132857189993956,None,44.117211699995096,None,3.552083333333333,1.1500506000011228,44.117211699995096,None,,,,,,,,,,,r,001,2020_Dec_15_1355,piloto1,2020.2.5,59.82006125576172,
400,0.02,imagenes/Almojabanas.png,0.6725051200713246,None,0,0,0,0,0,15,15,20,,,44.36633955000434,None,45.34936130000278,None,3.552083333333333,1.8473903999984032,45.34936130000278,None,,,,,,,,,,,r,001,2020_Dec_15_1355,piloto1,2020.2.5,59.82006125576172,
