Hertz,volumen,Imagenes,Random,Correcto,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,mensaje_intro.started,mensaje_intro.stopped,mensaje_intro_2.started,mensaje_intro_2.stopped,textbox_prueba.started,textbox_prueba.stopped,sonido_prueba.started,sonido_prueba.stopped,image_prueba.started,image_prueba.stopped,slider_prueba.response,slider_prueba.rt,slider_prueba.started,slider_prueba.stopped,sonido_prueba_2.started,sonido_prueba_2.stopped,image_prueba_2.started,image_prueba_2.stopped,slider_prueba_2.response,slider_prueba_2.rt,slider_prueba_2.started,slider_prueba_2.stopped,sonido_exp.started,sonido_exp.stopped,image_exp.started,image_exp.stopped,slider_exp.response,slider_exp.rt,slider_exp.started,slider_exp.stopped,text_subasta1.started,text_subasta1.stopped,text_subasta2.started,text_subasta2.stopped,text.started,text.stopped,text_4.started,text_4.stopped,text_producto.started,text_producto.stopped,image.started,image.stopped,texto_final.started,texto_final.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1000,0.02,imagenes/Papas picantes.jpg,0.524978898672612,None,0,0,0,2,0,14,14,27,,,,,,,,,,,,,,,,,,,,,,,37.716670869998055,None,38.699786899989704,None,5.947916666666666,1.080022199981613,38.699786899989704,None,,,,,,,,,,,,,,,t,001,2021_Jan_08_1844,piloto1,2020.2.5,59.91450201025426,
1000,0.02,imagenes/salchicha hojaldrada.jpg,0.7119773165481526,None,0,0,0,2,0,15,15,35,,,,,,,,,,,,,,,,,,,,,,,38.816959269988004,39.816447899997,39.79966419999255,None,5.947916666666666,1.1462748000049032,39.79966419999255,None,,,,,,,,,,,,,,,t,001,2021_Jan_08_1844,piloto1,2020.2.5,59.91450201025426,
1000,0.02,imagenes/Rollo de queso.png,0.9201641182756888,None,0,0,0,2,0,16,16,33,,,,,,,,,,,,,,,,,,,,,,,39.99972753998591,None,40.98361029999796,None,5.947916666666666,1.0967285000078846,40.98361029999796,None,,,,,,,,,,,,,,,t,001,2021_Jan_08_1844,piloto1,2020.2.5,59.91450201025426,
1000,0.02,imagenes/Alpinito.jpg,0.7416150880621702,None,0,0,0,2,0,17,17,0,,,,,,,,,,,,,,,,,,,,,,,41.14995080998924,None,42.150323699985165,None,5.947916666666666,1.1403847000037786,42.150323699985165,None,,,,,,,,,,,,,,,t,001,2021_Jan_08_1844,piloto1,2020.2.5,59.91450201025426,
1000,0.02,imagenes/Chocoramo.jfif.jpg,0.7425528559884101,None,0,0,0,2,0,18,18,4,,,,,,,,,,,,,,,,,,,,,,,42.33355764000444,43.33450560001074,43.33450560001074,None,5.947916666666666,1.1257655000081286,43.33450560001074,None,,,,,,,,,,,,,,,t,001,2021_Jan_08_1844,piloto1,2020.2.5,59.91450201025426,
1000,0.02,imagenes/Papas-pollo.jpg,0.08373485417902837,None,0,0,0,2,0,19,19,15,,,,,,,,,,,,,,,,,,,,,,,43.483328470002746,44.4831947000057,44.4831947000057,None,5.947916666666666,1.139601999981096,44.4831947000057,None,,,,,,,,,,,,,,,t,001,2021_Jan_08_1844,piloto1,2020.2.5,59.91450201025426,
1000,0.02,imagenes/Banano.jpeg,0.2267656716538785,None,0,0,0,2,0,20,20,1,,,,,,,,,,,,,,,,,,,,,,,44.65003297000949,45.64981639999314,45.64981639999314,None,5.947916666666666,1.2037236999894958,45.64981639999314,None,,,,,,,,,,,,,,,t,001,2021_Jan_08_1844,piloto1,2020.2.5,59.91450201025426,
1000,0.02,imagenes/Chontaduro.png,0.8693553300418813,None,0,0,0,2,0,21,21,23,,,,,,,,,,,,,,,,,,,,,,,45.88319456999598,46.88360840000678,46.88360840000678,None,5.947916666666666,1.1383488999854308,46.88360840000678,None,,,,,,,,,,,,,,,t,001,2021_Jan_08_1844,piloto1,2020.2.5,59.91450201025426,
1000,0.02,imagenes/bon-bon-bun.jpg,0.7417452724056987,None,0,0,0,2,0,22,22,2,,,,,,,,,,,,,,,,,,,,,,,47.06694033998647,48.066488100012066,48.066488100012066,None,5.947916666666666,1.1431002999888733,48.066488100012066,None,,,,,,,,,,,,,,,t,001,2021_Jan_08_1844,piloto1,2020.2.5,59.91450201025426,
1000,0.02,imagenes/Coliflor.jpg,0.3640740491088985,None,0,0,0,2,0,23,23,24,,,,,,,,,,,,,,,,,,,,,,,48.23322997000942,49.23331129999133,49.23331129999133,None,5.947916666666666,1.1427214000141248,49.23331129999133,None,,,,,,,,,,,,,,,t,001,2021_Jan_08_1844,piloto1,2020.2.5,59.91450201025426,
1000,0.02,imagenes/Mango.jpeg,0.4341155418941499,None,0,0,0,2,0,24,24,10,,,,,,,,,,,,,,,,,,,,,,,49.39963427000039,50.39990759998909,50.39990759998909,None,5.947916666666666,1.1372901999857277,50.39990759998909,None,,,,,,,,,,,,,,,t,001,2021_Jan_08_1844,piloto1,2020.2.5,59.91450201025426,
1000,0.02,imagenes/Galletas Tosh.jpg,0.9129693753280027,None,0,0,0,2,0,25,25,6,,,,,,,,,,,,,,,,,,,,,,,50.60010841000767,51.600520899984986,51.600520899984986,None,5.947916666666666,1.1262575000000652,51.600520899984986,None,,,,,,,,,,,,,,,t,001,2021_Jan_08_1844,piloto1,2020.2.5,59.91450201025426,
1000,0.02,imagenes/Kiwi.jpg,0.3929145850942286,None,0,0,0,2,0,26,26,8,,,,,,,,,,,,,,,,,,,,,,,51.7502399699908,None,52.74990019999677,None,5.947916666666666,1.1773660999897402,52.74990019999677,None,,,,,,,,,,,,,,,t,001,2021_Jan_08_1844,piloto1,2020.2.5,59.91450201025426,
1000,0.02,imagenes/Rosquitas (1).jpg,0.024090340010977873,None,0,0,0,2,0,27,27,17,,,,,,,,,,,,,,,,,,,,,,,52.96678873999045,53.966599200008204,53.950000499986345,None,5.947916666666666,1.1808196000056341,53.950000499986345,None,,,,,,,,,,,,,,,t,001,2021_Jan_08_1844,piloto1,2020.2.5,59.91450201025426,
