Hertz,volumen,Imagenes,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,sound_3.started,sound_3.stopped,sound_2.started,sound_2.stopped,image_2.started,image_2.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
400,0.02,imagenes\Kiwi.jpg,0,0,0,0,0,0,0,8,11.115731940220575,None,21.216083980037364,None,21.249636100023054,None,2.608072916666667,1.1600480999913998,21.249636100023054,None,Sebastián1,001,2020_Sep_05_1909,piloto1,2020.2.3,60.00445232933789,
400,0.02,imagenes\Rosquitas (1).jpg,0,0,0,0,0,1,1,17,,,22.433289990026967,None,22.433353100030217,None,3.4348958333333335,0.17523310001706704,22.433353100030217,None,Sebastián1,001,2020_Sep_05_1909,piloto1,2020.2.3,60.00445232933789,
400,0.02,imagenes\Nutella (1).jpg,0,0,0,0,0,2,2,12,,,22.649432159995193,None,22.644881699990947,None,4.645833333333333,0.18076770001789555,22.644881699990947,None,Sebastián1,001,2020_Sep_05_1909,piloto1,2020.2.3,60.00445232933789,
400,0.02,imagenes\Uvas.jpg,0,0,0,0,0,3,3,19,,,22.866175560024566,None,22.86760509997839,None,5.147135416666666,0.14183910004794598,22.86760509997839,None,Sebastián1,001,2020_Sep_05_1909,piloto1,2020.2.3,60.00445232933789,
