Hertz,volumen,Imagenes,Random,Correcto,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,sound_3.started,sound_3.stopped,Sonido.started,Sonido.stopped,image_2.started,image_2.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
400,0.02,imagenes\Papas-limon.jpg,0.020692288100133793,None,0,0,0,0,0,18,18,14,,,69.48168630000146,None,71.4652372000055,None,3.578125,2.714812099999108,71.4652372000055,None,,,a,001,2020_Sep_29_1303,piloto1,2020.2.3,60.00852121115023,
400,0.02,imagenes\Yogurt-alpina.jpg,0.21540995091807813,None,0,0,0,0,0,19,19,18,,,72.23176130000502,74.23191300000326,74.21541789999901,None,3.578125,2.728950699995039,74.21541789999901,None,,,a,001,2020_Sep_29_1303,piloto1,2020.2.3,60.00852121115023,
400,0.02,,,,0,0,0,0,,,,,,,,,,,,,,,,,a,001,2020_Sep_29_1303,piloto1,2020.2.3,60.00852121115023,
1000,0.0,imagenes\Uvas.jpg,0.7734382152670648,None,0,1,1,3,0,0,0,19,,,74.99827950000326,76.99853209999856,76.99853209999856,None,3.565104166666667,3.906569500002661,76.99853209999856,None,,,a,001,2020_Sep_29_1303,piloto1,2020.2.3,60.00852121115023,
1000,0.0,imagenes\Mango.jpeg,0.555669112372461,None,0,1,1,3,0,1,1,10,,,78.98148230000515,80.98176480000257,80.98176480000257,None,3.532552083333333,2.4386340999990352,80.98176480000257,None,,,a,001,2020_Sep_29_1303,piloto1,2020.2.3,60.00852121115023,
1000,0.0,imagenes\Papas-pollo.jpg,0.6683114062971784,None,0,1,1,3,0,2,2,15,,,81.44784269999946,83.44813129999966,83.44813129999966,None,3.532552083333333,2.489139099998283,83.44813129999966,None,,,a,001,2020_Sep_29_1303,piloto1,2020.2.3,60.00852121115023,
1000,0.0,imagenes\Papas-naturales.jpg,0.15856838916280946,None,0,1,1,3,0,3,3,13,,,83.98118890000478,None,85.96465980000357,None,3.532552083333333,2.511353699999745,85.96465980000357,None,,,a,001,2020_Sep_29_1303,piloto1,2020.2.3,60.00852121115023,
1000,0.0,imagenes\Nutella (1).jpg,0.5277483225747329,None,0,1,1,3,0,4,4,12,,,86.53118260000338,88.53128560000187,88.51471100000344,None,3.532552083333333,2.3951720999975805,88.51471100000344,None,,,a,001,2020_Sep_29_1303,piloto1,2020.2.3,60.00852121115023,
1000,0.0,imagenes\Popetas.jpg,0.07650200324054446,None,0,1,1,3,0,5,5,16,,,89.0308870000008,91.03170250000403,91.0148423999999,None,3.532552083333333,2.4795603999955347,91.0148423999999,None,,,a,001,2020_Sep_29_1303,piloto1,2020.2.3,60.00852121115023,
1000,0.0,imagenes\Chocoramo.jfif.jpg,0.7789437122019539,None,0,1,1,3,0,6,6,4,,,91.58085270000447,93.58087510000041,93.54790740000317,None,3.532552083333333,2.635961200001475,93.54790740000317,None,,,a,001,2020_Sep_29_1303,piloto1,2020.2.3,60.00852121115023,
1000,0.0,imagenes\Brownie.jpg,0.17000143351927688,None,0,1,1,3,0,7,7,3,,,94.26418620000186,96.26445850000164,96.26445850000164,None,3.532552083333333,2.4701568000018597,96.26445850000164,None,,,a,001,2020_Sep_29_1303,piloto1,2020.2.3,60.00852121115023,
1000,0.0,imagenes\Galletas Tosh.jpg,0.478088790487872,None,0,1,1,3,0,8,8,6,,,96.78059810000559,98.78104240000539,98.78104240000539,None,3.532552083333333,2.4377797999986797,98.78104240000539,None,,,a,001,2020_Sep_29_1303,piloto1,2020.2.3,60.00852121115023,
1000,0.0,imagenes\Croissant.jpg,0.6152458173421255,None,0,1,1,3,0,9,9,5,,,99.28032499999972,None,101.26419660000101,None,3.532552083333333,2.4982573999950546,101.26419660000101,None,,,a,001,2020_Sep_29_1303,piloto1,2020.2.3,60.00852121115023,
1000,0.0,imagenes\Galletas-festival.jpg,0.36121121246191135,None,0,1,1,3,0,10,10,7,,,101.81372209999972,103.81395039999916,103.81395039999916,None,3.532552083333333,2.4937967999940156,103.81395039999916,None,,,a,001,2020_Sep_29_1303,piloto1,2020.2.3,60.00852121115023,
1000,0.0,imagenes\Leche-de-almendras.jpg,0.36073876480313727,None,0,1,1,3,0,11,11,9,,,104.43020130000514,None,106.43136320000485,None,3.532552083333333,2.4941159000009065,106.43136320000485,None,,,a,001,2020_Sep_29_1303,piloto1,2020.2.3,60.00852121115023,
1000,0.0,imagenes\Papas-limon.jpg,0.020692288100133793,None,0,1,1,3,0,12,12,14,,,106.94721980000031,108.94703429999936,108.94703429999936,None,3.545572916666667,2.571303699995042,108.94703429999936,None,,,a,001,2020_Sep_29_1303,piloto1,2020.2.3,60.00852121115023,
1000,0.0,imagenes\Alpinito.jpg,0.4515332417045813,None,0,1,1,3,0,13,13,0,,,109.58001220000006,111.58005720000074,111.56375459999981,None,3.545572916666667,2.7161856000020634,111.56375459999981,None,,,a,001,2020_Sep_29_1303,piloto1,2020.2.3,60.00852121115023,
1000,0.0,imagenes\Yogurt-alpina.jpg,0.21540995091807813,None,0,1,1,3,0,14,14,18,,,112.3298758000019,None,114.31336100000044,None,3.545572916666667,2.6504719000004116,114.31336100000044,None,,,a,001,2020_Sep_29_1303,piloto1,2020.2.3,60.00852121115023,
1000,0.0,imagenes\bon-bon-bun.jpg,0.7387922093313524,None,0,1,1,3,0,15,15,2,,,115.01302950000536,117.01339749999897,117.01339749999897,None,3.545572916666667,2.70662319999974,117.01339749999897,None,,,a,001,2020_Sep_29_1303,piloto1,2020.2.3,60.00852121115023,
1000,0.0,imagenes\Banano.jpeg,0.651633055306917,None,0,1,1,3,0,16,16,1,,,117.77972820000286,None,119.76502569999866,None,3.545572916666667,3.2808499000020674,119.76502569999866,None,,,a,001,2020_Sep_29_1303,piloto1,2020.2.3,60.00852121115023,
1000,0.0,imagenes\Kiwi.jpg,0.5893907384852061,None,0,1,1,3,0,17,17,8,,,121.07938770000328,None,123.07949170000211,None,3.545572916666667,2.9766338000044925,123.07949170000211,None,,,a,001,2020_Sep_29_1303,piloto1,2020.2.3,60.00852121115023,
1000,0.0,imagenes\Manzana.jpg,0.5168162194437935,None,0,1,1,3,0,18,18,11,,,124.12923920000321,126.12954430000536,126.113105000004,None,3.545572916666667,2.833531199998106,126.113105000004,None,,,a,001,2020_Sep_29_1303,piloto1,2020.2.3,60.00852121115023,
