Hertz,volumen,Imagenes,Random,Correcto,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,text.stopped,sound_3.started,sound_3.stopped,Sonido.started,Sonido.stopped,image_2.started,image_2.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
400,0.02,imagenes\Papas-limon.jpg,0.020692288100133793,None,0,0,0,0,0,0,0,14,10.248835999984294,None,11.27418326997431,None,21.373951950052287,None,23.399066900019534,None,3.0052083333333335,8.888742699986324,23.399066900019534,None,hola1,001,2020_Sep_22_1421,piloto1,2020.2.3,60.27208021936762,
400,0.02,imagenes\Popetas.jpg,0.07650200324054446,None,0,0,0,0,0,1,1,16,,,,,30.340074260067194,None,32.34009080007672,None,2.9856770833333335,5.076927699963562,32.34009080007672,None,hola1,001,2020_Sep_22_1421,piloto1,2020.2.3,60.27208021936762,
400,0.02,imagenes\Mango.jpeg,0.555669112372461,None,0,0,0,0,0,2,2,10,,,,,35.45653397999703,None,37.45630570000503,None,2.9986979166666665,5.626166000030935,37.45630570000503,None,hola1,001,2020_Sep_22_1421,piloto1,2020.2.3,60.27208021936762,
400,0.02,imagenes\Manzana.jpg,0.5168162194437935,None,0,0,0,0,0,3,3,11,,,,,41.123028580006206,None,43.122668600059114,None,2.9921875,4.758366200025193,43.122668600059114,None,hola1,001,2020_Sep_22_1421,piloto1,2020.2.3,60.27208021936762,
400,0.02,imagenes\Galletas-festival.jpg,0.36121121246191135,None,0,0,0,0,0,4,4,7,,,,,45.93934506996302,None,47.939073299989104,None,4.352864583333333,3.341060300008394,47.939073299989104,None,hola1,001,2020_Sep_22_1421,piloto1,2020.2.3,60.27208021936762,
400,0.02,imagenes\Nutella (1).jpg,0.5277483225747329,None,0,0,0,0,0,5,5,12,,,,,49.3226434800541,None,51.30614670005161,None,2.9986979166666665,4.9813554000575095,51.30614670005161,None,hola1,001,2020_Sep_22_1421,piloto1,2020.2.3,60.27208021936762,
400,0.02,imagenes\Papas-pollo.jpg,0.6683114062971784,None,0,0,0,0,0,6,6,15,,,,,54.33945638001896,None,56.321885799989104,None,3.981770833333333,4.0519288999494165,56.321885799989104,None,hola1,001,2020_Sep_22_1421,piloto1,2020.2.3,60.27208021936762,
400,0.02,imagenes\Kiwi.jpg,0.5893907384852061,None,0,0,0,0,0,7,7,8,,,,,58.40491059004562,None,60.40577750001103,None,2.9986979166666665,4.939548599999398,60.40577750001103,None,hola1,001,2020_Sep_22_1421,piloto1,2020.2.3,60.27208021936762,
400,0.02,imagenes\Yogurt-alpina.jpg,0.21540995091807813,None,0,0,0,0,0,8,8,18,,,,,63.388356980076054,None,65.37170979997609,None,2.9986979166666665,3.0655748000135645,65.37170979997609,None,hola1,001,2020_Sep_22_1421,piloto1,2020.2.3,60.27208021936762,
400,0.02,imagenes\Galletas Tosh.jpg,0.478088790487872,None,0,0,0,0,0,9,9,6,,,,,66.50489196999696,None,68.48822569998447,None,2.9986979166666665,5.177525800070725,68.48822569998447,None,hola1,001,2020_Sep_22_1421,piloto1,2020.2.3,60.27208021936762,
400,0.02,imagenes\Chocoramo.jfif.jpg,0.7789437122019539,None,0,0,0,0,0,10,10,4,,,,,71.73794057002523,None,73.7217894999776,None,2.9986979166666665,3.6504041999578476,73.7217894999776,None,hola1,001,2020_Sep_22_1421,piloto1,2020.2.3,60.27208021936762,
400,0.02,imagenes\Banano.jpeg,0.651633055306917,None,0,0,0,0,0,11,11,1,,,,,75.42122568006161,None,77.42115670000203,None,2.9986979166666665,3.143920100061223,77.42115670000203,None,hola1,001,2020_Sep_22_1421,piloto1,2020.2.3,60.27208021936762,
400,0.02,imagenes\Brownie.jpg,0.17000143351927688,None,0,0,0,0,0,12,12,3,,,,,78.62113437001825,None,80.60440399998333,None,2.9986979166666665,3.2283629999728873,80.60440399998333,None,hola1,001,2020_Sep_22_1421,piloto1,2020.2.3,60.27208021936762,
400,0.02,imagenes\Alpinito.jpg,0.4515332417045813,None,0,0,0,0,0,13,13,0,,,,,81.90431277003371,None,83.90423590003047,None,2.9986979166666665,3.675419499981217,83.90423590003047,None,hola1,001,2020_Sep_22_1421,piloto1,2020.2.3,60.27208021936762,
400,0.02,imagenes\bon-bon-bun.jpg,0.7387922093313524,None,0,0,0,0,0,14,14,2,,,,,85.6374518700526,None,87.6206498000538,None,2.9986979166666665,3.844857499934733,87.6206498000538,None,hola1,001,2020_Sep_22_1421,piloto1,2020.2.3,60.27208021936762,
400,0.02,imagenes\Papas-naturales.jpg,0.15856838916280946,None,0,0,0,0,0,15,15,13,,,,,89.52047067999374,None,91.50358330004383,None,2.9986979166666665,3.6487777999136597,91.50358330004383,None,hola1,001,2020_Sep_22_1421,piloto1,2020.2.3,60.27208021936762,
400,0.02,imagenes\Uvas.jpg,0.7734382152670648,None,0,0,0,0,0,16,16,19,,,,,93.20348797996994,None,95.18684159999248,None,2.9986979166666665,4.127425999962725,95.18684159999248,None,hola1,001,2020_Sep_22_1421,piloto1,2020.2.3,60.27208021936762,
