mouse_intro.x,mouse_intro.y,mouse_intro.leftButton,mouse_intro.midButton,mouse_intro.rightButton,mouse_intro.clicked_name,mouse_intro_2.x,mouse_intro_2.y,mouse_intro_2.leftButton,mouse_intro_2.midButton,mouse_intro_2.rightButton,mouse_intro_2.clicked_name,mouse_intro_prueba.x,mouse_intro_prueba.y,mouse_intro_prueba.leftButton,mouse_intro_prueba.midButton,mouse_intro_prueba.rightButton,mouse_intro_prueba.clicked_name,slider_prueba.response,slider_prueba.rt,slider_prueba_2.response,slider_prueba_2.rt,mouse_intro_exp.x,mouse_intro_exp.y,mouse_intro_exp.leftButton,mouse_intro_exp.midButton,mouse_intro_exp.rightButton,mouse_intro_exp.clicked_name,mouse_subasta1.x,mouse_subasta1.y,mouse_subasta1.leftButton,mouse_subasta1.midButton,mouse_subasta1.rightButton,mouse_subasta1.clicked_name,mouse_subasta2.x,mouse_subasta2.y,mouse_subasta2.leftButton,mouse_subasta2.midButton,mouse_subasta2.rightButton,mouse_subasta2.clicked_name,slider_exp.response,slider_exp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Imagenes,Random,Correcto,participant,date,expName,psychopyVersion,OS,frameRate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Hertz,volumen,mouse_pago1_2.x,mouse_pago1_2.y,mouse_pago1_2.leftButton,mouse_pago1_2.midButton,mouse_pago1_2.rightButton,mouse_pago1.x,mouse_pago1.y,mouse_pago1.leftButton,mouse_pago1.midButton,mouse_pago1.rightButton,mouse_pago1.clicked_name,product,mouse_pago2.x,mouse_pago2.y,mouse_pago2.leftButton,mouse_pago2.midButton,mouse_pago2.rightButton,mouse_pago2.clicked_name,mouse_producto.x,mouse_producto.y,mouse_producto.leftButton,mouse_producto.midButton,mouse_producto.rightButton,mouse_producto.clicked_name,mensaje,mouse_pago3.x,mouse_pago3.y,mouse_pago3.leftButton,mouse_pago3.midButton,mouse_pago3.rightButton,mouse_pago3.clicked_name,mouse_intro_encuesta.x,mouse_intro_encuesta.y,mouse_intro_encuesta.leftButton,mouse_intro_encuesta.midButton,mouse_intro_encuesta.rightButton,mouse_intro_encuesta.clicked_name
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.259259259,6.9637,0,5,5,12,1,imagenes/salchicha hojaldrada.jpg,0.505550823,,pruebaprueba,2021-08-09_14h47.33.087,piloto2,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.259259259,7.8883,0,6,6,10,1,imagenes/Pizza.png,0.985777273,,pruebaprueba,2021-08-09_14h47.33.087,piloto2,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.259259259,3.9333,0,7,7,6,1,imagenes/Kiwi.jpg,0.589553343,,pruebaprueba,2021-08-09_14h47.33.087,piloto2,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.259259259,7.2854,0,8,8,13,1,imagenes/Uvas.jpg,0.794832335,,pruebaprueba,2021-08-09_14h47.33.087,piloto2,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.231481481,5.3042,0,9,9,8,1,imagenes/Muffin de banano.png,0.900189527,,pruebaprueba,2021-08-09_14h47.33.087,piloto2,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.231481481,3.9025,0,10,10,11,1,imagenes/Pizzetas.png,0.028367897,,pruebaprueba,2021-08-09_14h47.33.087,piloto2,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.231481481,6.5203,0,11,11,3,1,imagenes/Chocoramo.jfif.jpg,0.980975186,,pruebaprueba,2021-08-09_14h47.33.087,piloto2,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.194444444,6.2689,0,12,12,7,1,imagenes/Manzana.jpg,0.247337473,,pruebaprueba,2021-08-09_14h47.33.087,piloto2,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.226851852,7.9881,0,13,13,1,1,imagenes/Brocoli.jpg,0.68116784,,pruebaprueba,2021-08-09_14h47.33.087,piloto2,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pruebaprueba,2021-08-09_14h47.33.087,piloto2,2020.2.5,Win32,60,0,2,2,1,1,1500,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.226851852,4.3985,0,0,0,12,1,imagenes/salchicha hojaldrada.jpg,0.505550823,,pruebaprueba,2021-08-09_14h47.33.087,piloto2,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.217592593,4.0504,0,1,1,10,1,imagenes/Pizza.png,0.985777273,,pruebaprueba,2021-08-09_14h47.33.087,piloto2,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.180555556,4.2643,0,2,2,0,1,imagenes/Banano.jpeg,0.297138401,,pruebaprueba,2021-08-09_14h47.33.087,piloto2,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.189814815,9.3527,0,3,3,13,1,imagenes/Uvas.jpg,0.794832335,,pruebaprueba,2021-08-09_14h47.33.087,piloto2,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
